race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2025-06-15,2,1,0,17,0,1,31,24,1,1,0.03,6.85,53.4,0,-0.5
2025-06-15,2,1,0,17,0,1,31,24,2,2,0.16,6.92,52.2,0,-0.5
2025-06-15,2,1,0,17,0,1,31,24,3,3,0.11,6.98,50.5,1.5,-0.5
2025-06-15,2,1,0,17,0,1,31,24,4,4,0.14,6.89,53.8,0,-0.5
2025-06-15,2,1,0,17,0,1,31,24,5,5,0.24,6.91,52.6,0,0
2025-06-15,2,1,0,17,0,1,31,24,6,6,0.18,6.86,53.5,0,-0.5
2025-06-15,2,2,1,6,1,2,20,23,1,1,0.12,6.76,48.7,0,-0.5
2025-06-15,2,2,1,6,1,2,20,23,2,2,0.15,6.97,52.9,0,0
2025-06-15,2,2,1,6,1,2,20,23,3,3,0.12,6.76,45.5,1.5,-0.5
2025-06-15,2,2,1,6,1,2,20,23,4,4,0.09,6.86,53.6,0,0
2025-06-15,2,2,1,6,1,2,20,23,5,5,0.04,6.95,53.4,0,0
2025-06-15,2,2,1,6,1,2,20,23,6,6,-0.01,6.83,52,0,-0.5
2025-06-15,2,3,1,8,1,2,21,23,1,1,0.15,6.81,52,0,0
2025-06-15,2,3,1,8,1,2,21,23,2,2,0.18,6.8,52.6,0,0
2025-06-15,2,3,1,8,1,2,21,23,3,3,0.25,6.88,52.1,0,0
2025-06-15,2,3,1,8,1,2,21,23,4,4,0.08,6.81,55,0,0
2025-06-15,2,3,1,8,1,2,21,23,5,5,0.06,6.85,52,0,-0.5
2025-06-15,2,3,1,8,1,2,21,23,6,6,0.09,6.87,53.6,0,0
2025-06-15,2,4,0,17,0,2,22,23,1,1,0.33,6.85,48.2,0,-0.5
2025-06-15,2,4,0,17,0,2,22,23,2,2,0.17,6.82,48.3,0,-0.5
2025-06-15,2,4,0,17,0,2,22,23,3,3,0.27,6.84,53.8,0,-0.5
2025-06-15,2,4,0,17,0,2,22,23,4,4,0.16,6.86,45.5,1.5,0
2025-06-15,2,4,0,17,0,2,22,23,5,5,0.32,6.83,52,0,0
2025-06-15,2,4,0,17,0,2,22,23,6,6,0.13,6.92,52.4,0,-0.5
2025-06-15,2,5,1,6,1,2,23,23,1,1,0.11,6.77,51,1,0
2025-06-15,2,5,1,6,1,2,23,23,2,2,0.16,6.86,53.8,0,0
2025-06-15,2,5,1,6,1,2,23,23,3,3,0.11,6.88,53.8,0,-0.5
2025-06-15,2,5,1,6,1,2,23,23,4,4,0.09,6.82,51.5,0.5,-0.5
2025-06-15,2,5,1,6,1,2,23,23,5,5,0.04,6.95,52.6,0,-0.5
2025-06-15,2,5,1,6,1,2,23,23,6,6,-0.01,6.85,52,0,-0.5
2025-06-15,2,6,0,17,0,1,24,23,1,1,0.08,6.89,52,0,0
2025-06-15,2,6,0,17,0,1,24,23,2,2,-0.13,6.86,52,0,-0.5
2025-06-15,2,6,0,17,0,1,24,23,3,4,0.34,6.85,52,0,-0.5
2025-06-15,2,6,0,17,0,1,24,23,4,5,-0.02,6.77,48.7,0,-0.5
2025-06-15,2,6,0,17,0,1,24,23,5,6,0.01,6.81,52.3,0,0
2025-06-15,2,6,0,17,0,1,24,23,6,3,-0.04,6.89,53,0,-0.5
2025-06-15,2,7,0,17,0,1,26,24,1,1,-0.01,6.82,54.1,0,-0.5
2025-06-15,2,7,0,17,0,1,26,24,2,2,0.14,6.89,52.6,0,0
2025-06-15,2,7,0,17,0,1,26,24,3,3,0.09,6.89,53.6,0,0
2025-06-15,2,7,0,17,0,1,26,24,4,4,0.07,6.88,52,0,0
2025-06-15,2,7,0,17,0,1,26,24,5,5,0.02,6.84,47,0,0
2025-06-15,2,7,0,17,0,1,26,24,6,6,0.07,6.9,56.4,0,-0.5
2025-06-15,2,8,0,17,0,1,27,24,1,1,0.31,6.85,55.7,0,-0.5
2025-06-15,2,8,0,17,0,1,27,24,2,2,0.15,6.98,50.5,1.5,-0.5
2025-06-15,2,8,0,17,0,1,27,24,3,3,0.12,6.85,52,0,-0.5
2025-06-15,2,8,0,17,0,1,27,24,4,4,0.14,6.84,52.1,0,-0.5
2025-06-15,2,8,0,17,0,1,27,24,5,5,0.29,6.87,48.2,0,0
2025-06-15,2,8,0,17,0,1,27,24,6,6,0.11,6.96,52.3,0,-0.5
2025-06-15,2,9,0,17,0,1,28,24,1,1,0.27,6.87,53.1,0,-0.5
2025-06-15,2,9,0,17,0,1,28,24,2,2,0.03,6.89,52.4,0,-0.5
2025-06-15,2,9,0,17,0,1,28,24,3,3,0.1,6.88,53.6,0,0
2025-06-15,2,9,0,17,0,1,28,24,4,4,0.06,6.89,51,1,0
2025-06-15,2,9,0,17,0,1,28,24,5,5,0.09,7,52.9,0,-0.5
2025-06-15,2,9,0,17,0,1,28,24,6,6,0.08,6.92,47,0,-0.5
2025-06-15,2,10,1,16,1,1,28,24,1,1,0.02,6.82,51,1,-0.5
2025-06-15,2,10,1,16,1,1,28,24,2,2,0.03,6.83,52,0,-0.5
2025-06-15,2,10,1,16,1,1,28,24,3,3,0.08,6.84,55.2,0,0
2025-06-15,2,10,1,16,1,1,28,24,4,4,0.18,6.9,51.5,0.5,-0.5
2025-06-15,2,10,1,16,1,1,28,24,5,5,0.14,6.94,50,2,-0.5
2025-06-15,2,10,1,16,1,1,28,24,6,6,0.17,6.98,52.5,0,-0.5
2025-06-15,2,11,2,2,1,1,29,24,1,1,0.11,6.86,52,0,-0.5
2025-06-15,2,11,2,2,1,1,29,24,2,2,0.03,6.92,52.3,0,0
2025-06-15,2,11,2,2,1,1,29,24,3,3,0.01,6.92,53.4,0,-0.5
2025-06-15,2,11,2,2,1,1,29,24,4,4,0.11,6.92,54.1,0,-0.5
2025-06-15,2,11,2,2,1,1,29,24,5,5,0.24,6.97,53.8,0,0
2025-06-15,2,11,2,2,1,1,29,24,6,6,0.12,6.92,55.3,0,-0.5
2025-06-15,2,12,0,17,0,1,30,24,1,1,0.09,6.8,51.5,0.5,-0.5
2025-06-15,2,12,0,17,0,1,30,24,2,2,0.04,6.92,55.7,0,-0.5
2025-06-15,2,12,0,17,0,1,30,24,3,3,0.04,6.8,52.6,0,0
2025-06-15,2,12,0,17,0,1,30,24,4,4,0.12,6.89,56.4,0,-0.5
2025-06-15,2,12,0,17,0,1,30,24,5,5,0.08,6.88,52,0,-0.5
2025-06-15,2,12,0,17,0,1,30,24,6,6,0.13,6.93,48.3,0,-0.5
2025-06-15,3,1,4,6,10,1,26,21,1,1,0.11,6.81,53.3,0,0.5
2025-06-15,3,1,4,6,10,1,26,21,2,2,0.05,6.8,47.5,4.5,0.5
2025-06-15,3,1,4,6,10,1,26,21,3,3,-0.03,6.77,53.7,0,0.5
2025-06-15,3,1,4,6,10,1,26,21,4,4,-0.12,6.9,56.4,0,0.5
2025-06-15,3,1,4,6,10,1,26,21,5,5,0.19,6.89,58.5,0,0.5
2025-06-15,3,1,4,6,10,1,26,21,6,6,0.05,6.79,60.1,0,0.5
2025-06-15,3,2,3,12,10,2,22,21,1,1,-0.09,6.87,54.8,0,0.5
2025-06-15,3,2,3,12,10,2,22,21,2,2,-0.08,6.88,52,0,0
2025-06-15,3,2,3,12,10,2,22,21,3,3,0.03,6.92,53.2,0,0.5
2025-06-15,3,2,3,12,10,2,22,21,4,4,0.06,6.76,52.6,0,1.5
2025-06-15,3,2,3,12,10,2,22,21,5,5,0.05,6.95,51.5,0.5,0.5
2025-06-15,3,2,3,12,10,2,22,21,6,6,0.28,6.85,52,0,0.5
2025-06-15,3,3,3,12,10,2,23,21,1,1,0.11,6.9,52.4,0,0.5
2025-06-15,3,3,3,12,10,2,23,21,2,2,0.14,7.06,54.8,0,0
2025-06-15,3,3,3,12,10,2,23,21,3,3,0.13,6.93,52.5,0,0.5
2025-06-15,3,3,3,12,10,2,23,21,4,4,0.31,6.85,53.3,0,0.5
2025-06-15,3,3,3,12,10,2,23,21,5,5,0.32,7,51,1,0.5
2025-06-15,3,3,3,12,10,2,23,21,6,6,0.17,6.98,52.8,0,0
2025-06-15,3,4,3,12,10,2,24,21,1,1,-0.02,6.91,55.8,0,0.5
2025-06-15,3,4,3,12,10,2,24,21,2,2,0.06,6.95,50,2,0.5
2025-06-15,3,4,3,12,10,2,24,21,3,3,0.24,6.99,52.2,0,0
2025-06-15,3,4,3,12,10,2,24,21,4,4,0.01,7,59,0,1
2025-06-15,3,4,3,12,10,2,24,21,5,5,0.25,6.88,52.4,0,0.5
2025-06-15,3,4,3,12,10,2,24,21,6,6,0.41,7.01,50.5,1.5,0.5
2025-06-15,3,5,3,12,10,2,25,21,1,1,0.37,6.84,53.2,0,0.5
2025-06-15,3,5,3,12,10,2,25,21,2,2,0.45,7.02,56,0,0.5
2025-06-15,3,5,3,12,10,2,25,21,3,3,0.08,6.93,53.3,0,0.5
2025-06-15,3,5,3,12,10,2,25,21,4,4,0.06,6.95,52,0,0.5
2025-06-15,3,5,3,12,10,2,25,21,5,5,0.29,6.9,52.7,0,1.5
2025-06-15,3,5,3,12,10,2,25,21,6,6,0.13,6.93,52,0,0
2025-06-15,3,6,2,16,10,2,25,21,1,1,-0.03,7.01,51.5,0.5,0.5
2025-06-15,3,6,2,16,10,2,25,21,2,2,0.1,7.02,52.2,0,0.5
2025-06-15,3,6,2,16,10,2,25,21,3,3,0.33,6.97,47.5,4.5,1
2025-06-15,3,6,2,16,10,2,25,21,4,4,-0.01,6.97,51.5,0.5,1
2025-06-15,3,6,2,16,10,2,25,21,5,5,-0.05,6.97,52,0,0.5
2025-06-15,3,6,2,16,10,2,25,21,6,6,0.18,7.01,58,0,0.5
2025-06-15,3,7,2,2,10,2,25,21,1,1,-0.04,7.01,52,0,0.5
2025-06-15,3,7,2,2,10,2,25,21,2,2,0.2,7.01,55.5,0,1
2025-06-15,3,7,2,2,10,2,25,21,3,3,0.14,7.02,54,0,0.5
