race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2026-09-06,1,1,0,17,0,3,20,23,1,1,0.23,6.67,56.5,0,-0.5
2026-09-06,1,1,0,17,0,3,20,23,2,2,0.27,6.78,52,0,-0.5
2026-09-06,1,1,0,17,0,3,20,23,3,3,0.21,6.69,53.2,0,-0.5
2026-09-06,1,1,0,17,0,3,20,23,4,4,0.03,6.91,52.8,0,-0.5
2026-09-06,1,1,0,17,0,3,20,23,5,5,0.02,6.78,52,0,-0.5
2026-09-06,1,1,0,17,0,3,20,23,6,6,-0.02,6.72,51.5,0.5,-0.5
2026-09-06,1,2,2,10,1,3,19,23,1,1,0.17,6.83,53.2,0,-0.5
2026-09-06,1,2,2,10,1,3,19,23,2,2,0.12,6.77,52.1,0,-0.5
2026-09-06,1,2,2,10,1,3,19,23,3,3,0.02,6.68,52.2,0,0
2026-09-06,1,2,2,10,1,3,19,23,4,4,0.14,6.8,52.7,0,0
2026-09-06,1,2,2,10,1,3,19,23,5,5,0.11,6.72,53.2,0,-0.5
2026-09-06,1,2,2,10,1,3,19,23,6,6,-0.12,6.82,55.1,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,1,1,0.09,6.69,52,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,2,2,0.18,6.74,52.7,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,3,3,0.05,6.74,53.5,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,4,4,-0.02,6.73,52.6,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,5,5,0,6.9,53.4,0,-0.5
2026-09-06,1,3,2,2,1,3,19,23,6,6,-0.14,6.89,55.1,0,0
2026-09-06,1,4,1,12,1,3,19,23,1,1,0.16,6.7,52,0,-0.5
2026-09-06,1,4,1,12,1,3,19,23,2,2,0.18,6.72,55.9,0,-0.5
2026-09-06,1,4,1,12,1,3,19,23,3,3,-0.01,6.91,52,0,-0.5
2026-09-06,1,4,1,12,1,3,19,23,4,4,0.03,6.73,56.7,0,-0.5
2026-09-06,1,4,1,12,1,3,19,23,5,5,-0.04,6.78,57.4,0,-0.5
2026-09-06,1,4,1,12,1,3,19,23,6,6,0.07,6.9,52.3,0,-0.5
2026-09-06,1,5,0,17,0,3,19,23,1,1,-0.01,6.76,53.2,0,-0.5
2026-09-06,1,5,0,17,0,3,19,23,2,2,0.04,6.86,52.2,0,0
2026-09-06,1,5,0,17,0,3,19,23,3,3,0.09,6.75,53.6,0,-0.5
2026-09-06,1,5,0,17,0,3,19,23,4,4,0.03,6.73,52.4,0,0
2026-09-06,1,5,0,17,0,3,19,23,5,5,0.11,6.71,56.5,0,-0.5
2026-09-06,1,5,0,17,0,3,19,23,6,6,0.23,6.74,52.6,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,1,1,0.15,6.72,52,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,2,2,0.18,6.86,52,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,3,3,0.09,6.74,53.4,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,4,4,0.17,6.93,53.3,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,5,5,0.12,6.93,53.2,0,-0.5
2026-09-06,1,6,0,17,0,3,19,23,6,6,0.04,6.71,55.4,0,-0.5
2026-09-06,1,7,0,17,0,3,19,23,1,1,0.13,6.84,51.5,0.5,-0.5
2026-09-06,1,7,0,17,0,3,19,23,2,2,0.32,6.8,50.5,1.5,-0.5
2026-09-06,1,7,0,17,0,3,19,23,3,3,0.12,6.71,52,0,-0.5
2026-09-06,1,7,0,17,0,3,19,23,4,4,0.24,6.62,52.7,0,0
2026-09-06,1,7,0,17,0,3,19,23,5,5,0.07,6.68,53.2,0,-0.5
2026-09-06,1,7,0,17,0,3,19,23,6,6,0.05,6.72,52.7,0,0
2026-09-06,1,8,0,17,0,3,19,23,1,1,0.08,6.75,52.2,0,-0.5
2026-09-06,1,8,0,17,0,3,19,23,2,2,0.06,6.81,53.3,0,-0.5
2026-09-06,1,8,0,17,0,3,19,23,3,3,0.08,6.91,52.7,0,-0.5
2026-09-06,1,8,0,17,0,3,19,23,4,6,0.09,6.72,51,1,-0.5
