race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2026-04-23,1,1,0,17,0,3,12,18,1,1,-0.07,6.74,53.3,0,-0.5
2026-04-23,1,1,0,17,0,3,12,18,2,2,-0.18,6.79,47,0,-0.5
2026-04-23,1,1,0,17,0,3,12,18,3,3,-0.15,6.78,53.8,0,-0.5
2026-04-23,1,1,0,17,0,3,12,18,4,4,0.13,6.78,53.5,0,-0.5
2026-04-23,1,1,0,17,0,3,12,18,5,5,-0.05,6.81,51.5,0.5,-0.5
2026-04-23,1,1,0,17,0,3,12,18,6,6,-0.01,6.73,52,0,0
2026-04-23,1,2,2,10,1,2,16,18,1,1,0.02,6.73,52.5,0,-0.5
2026-04-23,1,2,2,10,1,2,16,18,2,2,0.16,6.69,53,0,-0.5
2026-04-23,1,2,2,10,1,2,16,18,3,3,0.05,6.84,53.9,0,-0.5
2026-04-23,1,2,2,10,1,2,16,18,4,4,0,6.86,59.6,0,0
2026-04-23,1,2,2,10,1,2,16,18,5,5,-0.05,6.81,47,0,-0.5
2026-04-23,1,2,2,10,1,2,16,18,6,6,0.19,6.91,68.6,0,-0.5
2026-04-23,1,3,2,8,1,3,15,18,1,1,0.07,6.82,52,0,-0.5
2026-04-23,1,3,2,8,1,3,15,18,2,2,-0.05,6.78,51,1,0
2026-04-23,1,3,2,8,1,3,15,18,3,3,0.11,6.84,51.5,0.5,0
2026-04-23,1,3,2,8,1,3,15,18,4,4,0.02,6.86,54.9,0,-0.5
2026-04-23,1,3,2,8,1,3,15,18,5,5,-0.01,6.94,54.8,0,-0.5
2026-04-23,1,3,2,8,1,3,15,18,6,6,0.06,6.79,47.7,0,-0.5
2026-04-23,1,4,3,8,2,3,15,18,1,1,0.11,6.8,53.4,0,-0.5
2026-04-23,1,4,3,8,2,3,15,18,2,2,-0.01,6.87,52.5,0,-0.5
2026-04-23,1,4,3,8,2,3,15,18,3,3,0.04,6.7,52.1,0,-0.5
2026-04-23,1,4,3,8,2,3,15,18,4,4,0.11,6.86,47,0,-0.5
2026-04-23,1,4,3,8,2,3,15,18,5,5,0.05,6.73,51,1,0
2026-04-23,1,4,3,8,2,3,15,18,6,6,0.18,6.76,48.3,0,-0.5
2026-04-23,1,5,3,8,2,3,14,18,1,1,-0.01,6.69,52.4,0,0
2026-04-23,1,5,3,8,2,3,14,18,2,2,0.19,6.73,52,0,0
2026-04-23,1,5,3,8,2,3,14,18,3,3,0.21,6.61,57.3,0,-0.5
2026-04-23,1,5,3,8,2,3,14,18,4,4,0.18,6.69,50,2,0
2026-04-23,1,5,3,8,2,3,14,18,5,5,0.16,6.73,51,1,-0.5
2026-04-23,1,5,3,8,2,3,14,18,6,6,0.06,6.63,52,0,0
2026-04-23,1,6,2,8,1,3,13,18,1,1,0.01,6.61,52.9,0,-0.5
2026-04-23,1,6,2,8,1,3,13,18,2,2,-0.05,6.68,52.1,0,-0.5
2026-04-23,1,6,2,8,1,3,13,18,3,3,0.01,6.82,52.5,0,0
2026-04-23,1,6,2,8,1,3,13,18,4,4,0.03,6.78,53.3,0,-0.5
2026-04-23,1,6,2,8,1,3,13,18,5,6,0.05,6.81,53.8,0,-0.5
2026-04-23,1,6,2,8,1,3,13,18,6,5,-0.1,6.71,52,0,-0.5
2026-04-23,1,7,2,2,1,3,13,18,1,1,0.08,6.8,52.4,0,-0.5
2026-04-23,1,7,2,2,1,3,13,18,2,2,0.33,6.61,52.8,0,0
2026-04-23,1,7,2,2,1,3,13,18,3,3,0.21,6.7,53.1,0,-0.5
2026-04-23,1,7,2,2,1,3,13,18,4,4,0.09,6.82,53.9,0,-0.5
2026-04-23,1,7,2,2,1,3,13,18,5,6,0.07,6.7,47.7,0,-0.5
2026-04-23,1,7,2,2,1,3,13,18,6,5,0.06,6.81,53.5,0,-0.5
2026-04-23,1,8,2,2,1,3,13,18,1,1,0.11,6.8,54.8,0,-0.5
2026-04-23,1,8,2,2,1,3,13,18,2,2,0.08,6.86,47,0,-0.5
2026-04-23,1,8,2,2,1,3,13,18,3,3,0.11,6.63,52.9,0,0
2026-04-23,1,8,2,2,1,3,13,18,4,4,0.08,6.82,51.5,0.5,-0.5
2026-04-23,1,8,2,2,1,3,13,18,5,5,0.1,6.79,52.8,0,-0.5
2026-04-23,1,8,2,2,1,3,13,18,6,6,0.15,6.8,47,0,-0.5
