race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2025-11-27,3,1,0,17,5,2,13,16,1,1,0.08,7.02,52.1,0,0
2025-11-27,3,1,0,17,5,2,13,16,2,2,-0.04,7.1,54.7,0,-0.5
2025-11-27,3,1,0,17,5,2,13,16,3,3,0.15,7.14,52.3,0,0
2025-11-27,3,1,0,17,5,2,13,16,4,4,0.02,7.55,47,0,1
2025-11-27,3,1,0,17,5,2,13,16,5,5,-0.01,7.23,53,0,0.5
2025-11-27,3,1,0,17,5,2,13,16,6,6,-0.05,7.03,52.9,0,-0.5
2025-11-27,3,2,3,12,5,1,13,16,1,1,0.22,6.93,54.8,0,0.5
2025-11-27,3,2,3,12,5,1,13,16,2,2,0.11,7.04,53.1,0,0
2025-11-27,3,2,3,12,5,1,13,16,3,3,-0.04,6.96,52.3,0,0
2025-11-27,3,2,3,12,5,1,13,16,4,4,-0.1,6.96,52.7,0,0.5
2025-11-27,3,2,3,12,5,1,13,16,5,5,-0.02,7,43.5,3.5,0.5
2025-11-27,3,2,3,12,5,1,13,16,6,6,-0.04,6.92,52,0,0
2025-11-27,3,3,2,12,5,1,14,16,1,1,0.22,6.98,52,0,0.5
2025-11-27,3,3,2,12,5,1,14,16,2,2,0.04,7.01,52,0,0.5
2025-11-27,3,3,2,12,5,1,14,16,3,3,0.02,6.87,53.7,0,0
2025-11-27,3,3,2,12,5,1,14,16,4,4,0.01,6.98,54.1,0,0
2025-11-27,3,3,2,12,5,1,14,16,5,5,0.12,6.95,55,0,0
2025-11-27,3,3,2,12,5,1,14,16,6,6,0.01,7.08,55,0,0.5
2025-11-27,3,4,1,12,5,1,15,16,1,1,0.06,6.87,52.9,0,0.5
2025-11-27,3,4,1,12,5,1,15,16,2,2,0.14,7.02,54.8,0,0.5
2025-11-27,3,4,1,12,5,1,15,16,3,3,0.11,6.92,52,0,0.5
2025-11-27,3,4,1,12,5,1,15,16,4,4,0.11,7.01,54.5,0,0.5
2025-11-27,3,4,1,12,5,1,15,16,5,5,0.1,7,45,2,0
2025-11-27,3,4,1,12,5,1,15,16,6,6,0.11,6.88,54.1,0,0.5
2025-11-27,3,5,1,12,5,2,14,16,1,1,0.09,6.85,50.5,1.5,0
2025-11-27,3,5,1,12,5,2,14,16,2,2,0.28,7.02,54.4,0,0.5
2025-11-27,3,5,1,12,5,2,14,16,3,3,0.22,7.04,53,0,0.5
2025-11-27,3,5,1,12,5,2,14,16,4,,,0,47.2,0,0
2025-11-27,3,5,1,12,5,2,14,16,5,4,0.03,6.8,52,0,0.5
2025-11-27,3,5,1,12,5,2,14,16,6,5,0.07,6.86,46,1,0.5
2025-11-27,3,6,1,12,5,2,14,16,1,1,0.07,6.97,52.3,0,0
2025-11-27,3,6,1,12,5,2,14,16,2,2,0.15,6.93,56.3,0,0.5
2025-11-27,3,6,1,12,5,2,14,16,3,3,0.13,6.85,52,0,0
2025-11-27,3,6,1,12,5,2,14,16,4,4,-0.01,6.99,53.4,0,0.5
2025-11-27,3,6,1,12,5,2,14,16,5,5,0.01,7.04,52,0,0
2025-11-27,3,6,1,12,5,2,14,16,6,6,0.06,6.87,53.9,0,0
2025-11-27,3,7,1,10,5,2,14,16,1,1,0.18,6.88,54.1,0,0
2025-11-27,3,7,1,10,5,2,14,16,2,2,0.15,6.85,52.3,0,0
2025-11-27,3,7,1,10,5,2,14,16,3,3,0.14,6.84,52.1,0,1
2025-11-27,3,7,1,10,5,2,14,16,4,4,0.14,6.94,52.9,0,-0.5
2025-11-27,3,7,1,10,5,2,14,16,5,5,0.19,6.92,52.2,0,0.5
2025-11-27,3,7,1,10,5,2,14,16,6,6,0.25,6.89,49.7,0,0
2025-11-27,3,8,1,10,5,2,14,16,1,1,0.04,6.87,53.1,0,0
2025-11-27,3,8,1,10,5,2,14,16,2,2,-0.04,6.91,54.5,0,0.5
2025-11-27,3,8,1,10,5,2,14,16,3,3,-0.05,6.96,51,1,0.5
2025-11-27,3,8,1,10,5,2,14,16,4,4,-0.15,6.93,53.2,0,0.5
2025-11-27,3,8,1,10,5,2,14,16,5,5,0.14,7.01,47,0,0
2025-11-27,3,8,1,10,5,2,14,16,6,6,0.09,7.04,52.2,0,0.5
2025-11-27,3,9,1,8,5,2,14,16,1,1,0.09,6.92,54.1,0,0.5
2025-11-27,3,9,1,8,5,2,14,16,2,2,0.18,6.91,52.9,0,0
2025-11-27,3,9,1,8,5,2,14,16,3,3,0.09,6.98,54.4,0,0.5
2025-11-27,3,9,1,8,5,2,14,16,4,4,0.27,6.82,43.5,3.5,0.5
2025-11-27,3,9,1,8,5,2,14,16,5,5,0.26,6.98,53.2,0,0
2025-11-27,3,9,1,8,5,2,14,16,6,6,0.16,6.91,47,0,1
2025-11-27,3,10,1,8,5,2,14,16,1,1,-0.05,6.87,46,1,0.5
2025-11-27,3,10,1,8,5,2,14,16,2,2,0.06,6.9,53.7,0,0
2025-11-27,3,10,1,8,5,2,14,16,3,3,0.26,6.97,45,2,0
2025-11-27,3,10,1,8,5,2,14,16,4,4,0.01,6.77,52.1,0,1
2025-11-27,3,10,1,8,5,2,14,16,5,5,0.02,6.98,53.4,0,0.5
2025-11-27,3,10,1,8,5,2,14,16,6,6,-0.15,6.78,56.2,0,1
2025-11-27,3,11,1,10,5,2,14,16,1,1,0.09,6.93,53.9,0,0
2025-11-27,3,11,1,10,5,2,14,16,2,2,-0.02,6.83,52,0,0.5
2025-11-27,3,11,1,10,5,2,14,16,3,3,0.03,6.83,52.7,0,0
2025-11-27,3,11,1,10,5,2,14,16,4,4,0.02,6.89,52.1,0,1
2025-11-27,3,11,1,10,5,2,14,16,5,5,0.38,6.81,52,0,0.5
2025-11-27,3,11,1,10,5,2,14,16,6,6,-0.03,6.94,52.9,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,1,1,0.01,6.93,55,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,2,2,-0.06,6.89,52.2,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,3,3,-0.03,6.92,53.2,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,4,4,0.12,6.91,52,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,5,5,0.27,6.97,56.3,0,0.5
2025-11-27,3,12,1,10,5,2,14,16,6,6,0.14,6.93,54.8,0,1
2025-11-27,6,1,1,9,0,1,17,16,1,1,0.06,6.67,52.5,0,-0.5
2025-11-27,6,1,1,9,0,1,17,16,2,2,0.08,6.64,52.3,0,-0.5
