race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2025-12-07,2,1,0,17,0,1,14,10,1,1,-0.04,6.59,52,0,-0.5
2025-12-07,2,1,0,17,0,1,14,10,2,2,0.01,6.63,47.2,0,-0.5
2025-12-07,2,1,0,17,0,1,14,10,3,3,-0.03,6.61,57.4,0,-0.5
2025-12-07,2,1,0,17,0,1,14,10,4,4,0.04,6.55,52,0,0
2025-12-07,2,1,0,17,0,1,14,10,5,5,0.01,6.7,45.5,1.5,0
2025-12-07,2,1,0,17,0,1,14,10,6,6,-0.08,6.73,52.8,0,-0.5
2025-12-07,2,2,0,17,0,1,9,9,1,1,0.02,6.62,54.6,0,-0.5
2025-12-07,2,2,0,17,0,1,9,9,2,2,0.16,6.67,54,0,0
2025-12-07,2,2,0,17,0,1,9,9,3,3,-0.03,6.79,53.5,0,-0.5
2025-12-07,2,2,0,17,0,1,9,9,4,4,-0.01,6.71,52,0,-0.5
2025-12-07,2,2,0,17,0,1,9,9,5,5,-0.02,6.68,52,0,-0.5
2025-12-07,2,2,0,17,0,1,9,9,6,6,0.03,6.77,49.1,0,-0.5
2025-12-07,2,3,1,12,1,1,10,9,1,1,-0.03,6.75,52,0,-0.5
2025-12-07,2,3,1,12,1,1,10,9,2,3,0.04,6.76,51,1,-0.5
2025-12-07,2,3,1,12,1,1,10,9,3,4,0.27,6.74,52.3,0,0
2025-12-07,2,3,1,12,1,1,10,9,4,5,0.09,6.75,52.4,0,-0.5
2025-12-07,2,3,1,12,1,1,10,9,5,6,0.08,6.74,47.4,0,-0.5
2025-12-07,2,3,1,12,1,1,10,9,6,2,-0.01,6.73,52.5,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,1,1,0.11,6.68,53.3,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,2,2,0.14,6.66,53.7,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,3,3,0.17,6.61,52,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,4,4,0.18,6.73,52,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,5,5,0.09,6.84,58.6,0,-0.5
2025-12-07,2,4,0,17,0,1,11,9,6,6,0.21,6.66,47.8,0,-0.5
2025-12-07,2,5,0,17,0,1,12,9,1,1,0.07,6.72,55.9,0,0
2025-12-07,2,5,0,17,0,1,12,9,2,2,0.02,6.79,45.5,1.5,-0.5
2025-12-07,2,5,0,17,0,1,12,9,3,3,0.01,6.68,52,0,0
2025-12-07,2,5,0,17,0,1,12,9,4,4,0.05,6.7,52.4,0,-0.5
2025-12-07,2,5,0,17,0,1,12,9,5,5,0.12,6.65,55.5,0,-0.5
2025-12-07,2,5,0,17,0,1,12,9,6,6,0.36,6.88,56.5,0,-0.5
2025-12-07,2,6,0,17,0,1,13,9,1,1,-0.08,6.56,51.5,0.5,-0.5
