race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,1,5035,櫻井 優,3,28,52.1,0,0,0.17,5.39,35.48,54.84,5.62,39.68,50.79,25.23,41.44,33.86,51.97
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,2,3107,平岡 重典,3,62,52,0,0,0.16,4.38,16.67,36.67,5.13,20,46.67,33.8,56.34,28.35,45.67
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,3,4258,関根 彰人,3,42,52.3,0,0,0.15,4.78,31.33,42.17,4.92,28.24,44.71,33.33,48.06,29.69,45.31
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,4,5367,赤松 咲香,4,24,50.6,1,0,0.17,1.86,4.65,6.98,0,0,0,33.79,49.66,22.58,38.71
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,5,4520,高倉 孝太,3,38,52,0,0,0.15,6.34,47.42,65.98,7.43,71.43,85.71,30.41,43.24,27.74,38.69
2026-03-22,2,1,2026-03-22 10:47:00,5,第7回埼玉新聞社杯,6,5123,福山 恵里奈,3,29,48.3,0,0,0.16,4.41,22.09,39.53,4.78,33.33,55.56,41.13,59.68,21.97,37.12
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,1,3156,金子 良昭,3,61,54,0,0,0.16,4.13,22.58,33.87,3.33,4.76,28.57,30.22,45.32,46.77,61.29
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,2,3300,川崎 智幸,1,58,53.4,0,0,0.15,5.57,38.68,50.94,4.75,25,37.5,29.93,51.82,31.54,48.46
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,3,3542,清水 紀克,3,57,56.2,0,0,0.19,4.42,23.61,40.28,3.5,8.33,16.67,40.85,64.08,29.37,47.62
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,4,3313,本吉 正樹,3,60,54.1,0,0,0.19,4.4,24.71,35.29,2.8,6.67,13.33,34.53,48.92,40,59.23
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,5,5413,宮城 那菜,4,20,47.3,0,0,0.17,1.63,1.79,3.57,0,0,0,32.74,48.67,31.54,46.15
2026-03-22,2,2,2026-03-22 11:16:00,5,第7回埼玉新聞社杯,6,4134,杉山 貴博,2,45,54.7,1,0,0.16,6.47,53,68,7.09,55.88,73.53,40.5,59.5,27.82,48.12
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,1,5165,小林 愛実,3,25,46.5,0,0,0.17,5.11,30.77,47.25,5.05,15.79,47.37,40.29,55.4,33.08,52.31
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,2,4144,石塚 久也,2,44,52,0,0,0.19,5.99,44.35,61.74,6.91,54.87,69.91,43.26,59.57,32.35,46.32
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,3,4394,永嶋 裕一,2,39,52.2,0,0,0.14,5.85,40,58.95,0,0,0,27.78,41.67,30.53,45.04
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,4,3718,伊達 正利,3,51,55.2,0,0,0.17,4.47,26.32,42.11,5.32,31.58,42.11,44,58.67,32.81,44.53
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,5,4931,木谷 賢太,1,30,52,0,0,0.14,6.59,45.9,71.31,6.28,36,68,22.05,42.52,33.58,57.66
2026-03-22,2,3,2026-03-22 11:45:00,5,第7回埼玉新聞社杯,6,3653,品川 賢次,3,52,53.4,0,0,0.18,4.12,11.54,38.46,3,0,23.53,25.95,42.75,35.07,47.01
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,1,3935,岩津 徹郎,3,48,53.9,0,0,0.17,4.95,26.56,50,0,0,0,38.46,54.55,36.22,54.33
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,2,5191,飛田 江己,1,24,52,0,0,0.13,6.32,42.5,60.83,6.55,50,64.29,31.01,47.29,27.91,45.74
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,3,5095,小原 聡将,2,31,52.9,1,0,0.14,5.78,35.11,61.7,4.65,23.08,46.15,32.14,43.57,36.64,58.78
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,4,4899,占部 一真,3,34,52,0,0,0.15,4.21,21.25,36.25,3.46,15.38,30.77,36.62,56.34,28.24,48.09
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,5,4010,越智 照浩,3,46,56.5,0,0,0.18,3.89,13.7,28.77,5,33.33,50,33.33,46.81,32.06,45.8
2026-03-22,2,4,2026-03-22 12:14:00,5,第7回埼玉新聞社杯,6,3659,藤生 雄人,3,51,54.1,0,0,0.17,5.76,40.82,61.22,5,32.61,47.83,31.62,51.47,35.29,53.68
2026-03-22,2,5,2026-03-22 12:44:00,5,第7回埼玉新聞社杯,1,4231,鈴木 裕隆,2,42,55.1,0,0,0.17,5.44,29.91,57.26,5.75,37.5,62.5,34.72,50,34.09,52.27
2026-03-22,2,5,2026-03-22 12:44:00,5,第7回埼玉新聞社杯,2,2878,富山 弘幸,3,67,53.9,0,0,0.17,5.28,34.78,52.17,7.33,55.56,88.89,24.8,38.4,30.71,43.31
2026-03-22,2,5,2026-03-22 12:44:00,5,第7回埼玉新聞社杯,3,5123,福山 恵里奈,3,29,48.3,0,0,0.16,4.41,22.09,39.53,4.78,33.33,55.56,41.13,59.68,21.97,37.12
2026-03-22,2,5,2026-03-22 12:44:00,5,第7回埼玉新聞社杯,4,3541,三嶌 誠司,1,57,53.1,0,0,0.16,5.87,34.82,58.93,5.95,28.57,52.38,42.57,61.49,42.86,61.9
