race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,1,4562,阪本 勇介,3,37,53.1,0,0,0.2,4.07,17.36,35.54,4.05,15.79,36.84,27.84,43.18,33.16,54.21
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,2,3544,豊田 訓靖,4,56,52.9,0,0,0.16,3.12,9.09,21.21,0,0,0,34.36,52.76,32.63,54.74
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,3,4128,川口 貴久,3,45,54.7,0,0,0.15,4.28,18.84,39.13,5.64,40.91,56.82,26.84,42.63,30.73,45.31
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,4,5126,山下 大輝,2,29,52,0,0,0.18,6.4,50.69,68.06,4.63,0,62.5,36.27,56.86,25,40.96
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,5,4071,古賀 千晶,3,44,46.5,0,0,0.19,4.81,29.85,46.27,5.76,34.48,58.62,30.81,49.19,39.15,56.08
2025-11-04,1,1,2025-11-04 15:22:00,5,第11回太田双葉CCカップ D・S開設12周年記念,6,4888,金児 隆太,2,38,52,0,0,0.17,4.72,26.13,42.34,5.59,34.18,53.16,41.61,57.05,34.41,49.46
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,1,4639,雑賀 勇貴,3,34,54.8,0,0,0.18,4.36,25,39.42,3.38,12.5,25,42.71,58.85,33.68,48.95
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,2,4809,外崎 悟,2,36,52,0,0,0.16,5.58,36.25,51.25,5.6,30,60,41.85,55.98,32.11,50
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,3,4679,植田 太一,2,36,57.7,0,0,0.18,6.37,46.83,61.9,4.6,30,40,37.91,52.75,37.1,52.15
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,4,4317,木村 紗友希,3,41,47.4,0,0,0.19,4.38,24.24,41.41,0,0,0,35.52,56.83,27.81,49.73
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,5,3869,井芹 大志,3,50,55.6,0,0,0.17,4.08,20,38.26,3.71,20,31.43,48.11,62.7,37.7,53.93
2025-11-04,1,2,2025-11-04 15:48:00,5,第11回太田双葉CCカップ D・S開設12周年記念,6,4580,長谷川 雅和,2,36,52,0,0,0.16,5.46,39.58,50,6.4,46.67,60,41.92,59.28,31.18,39.25
2025-11-04,1,3,2025-11-04 16:17:00,5,第11回太田双葉CCカップ D・S開設12周年記念,1,3635,石田 政吾,2,55,52.4,0,0,0.18,5.02,28.57,52.94,5.25,27.78,55.56,42.86,60.32,29.32,41.36
2025-11-04,1,3,2025-11-04 16:17:00,5,第11回太田双葉CCカップ D・S開設12周年記念,2,3159,江口 晃生,1,60,52,0,0,0.16,6.76,46.88,71.88,7.58,62.4,78.4,36.18,54.61,33.51,52.43
2025-11-04,1,3,2025-11-04 16:17:00,5,第11回太田双葉CCカップ D・S開設12周年記念,3,4730,土屋 実沙希,3,36,47.3,0,0,0.2,5.73,37.8,58.54,4.88,25,50,28.22,46.63,31.22,50.79
