race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,3812,山崎 聖司,3,49,51.5,0,0,0.17,4.5,27.27,42.73,5.05,28.43,48.04,34.95,47.57,41.53,60.17
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,4651,佐藤 大騎,3,40,52.2,1,0,0.17,4.04,21.05,33.68,3.82,18.18,27.27,21.88,37.5,41.24,59.79
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,5279,石渡 翔一郎,3,23,52.7,0,0,0.15,5.41,33.73,51.81,5.16,34.13,50.9,21.98,35.16,32.32,48.48
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,4,4837,酒井 陽祐,3,36,51.5,0,0,0.19,4.61,28.57,40.82,0,0,0,32.35,48.04,33.66,52.48
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,5,4669,井上 茂,3,40,52.7,1,0,0.18,4.1,17.53,36.08,4.03,16.67,33.33,41.84,52.04,36.46,50
2025-10-28,3,1,2025-10-28 10:59:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,6,5383,中村 楓,4,20,53.8,1,0,0.21,1.35,1.47,1.47,1.67,0,0,22.73,38.64,48.86,63.64
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,5124,上瀧 絢也,3,29,52.5,1,0,0.15,3.72,13.79,37.93,3.66,20,31.43,26.44,40.23,24.74,44.33
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,3874,山本 寛久,1,49,52.1,1,0,0.15,6.41,50.42,66.39,7.46,56.76,72.97,29.29,50.51,27.38,50
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,5023,久永 祥平,3,30,52,0,0,0.15,5.16,27.52,52.29,5.72,38.32,59.81,36.54,57.69,32.32,50.51
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,4,5313,鈴木 唯央,3,25,52.6,1,0,0.18,3.18,9.21,17.11,3,15.79,15.79,29.41,45.1,40.43,62.77
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,5,4330,奈須 啓太,2,42,52,1,0,0.12,6.12,41.76,61.54,6.64,40,64,24.73,48.39,36.36,50.51
2025-10-28,3,2,2025-10-28 11:25:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,6,4905,土井 祥伍,3,30,54.6,1,0,0.19,4.01,18.6,31.4,0,0,0,30.69,46.53,30.3,42.42
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,4257,古川 健,3,41,52.2,1,0,0.15,4.93,31.25,51.25,5.19,33.33,42.86,45.74,55.32,38.05,56.64
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,3557,太田 和美,1,52,53.4,0,0,0.16,6.86,51.97,70.39,6.45,45.45,63.64,36.63,52.48,35.64,54.46
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,4945,上村 宏太,3,33,53,0,0,0.17,3.85,15.22,30.43,5.29,33.33,53.57,34.74,49.47,23.91,46.74
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,4,5354,渡邊 雄斗,4,21,51.5,1,0,0.21,1.65,0,1.39,2,0,5.88,38.61,62.38,34.34,42.42
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,5,4375,照屋 厚仁,2,41,53.1,0,0,0.16,5.6,39.84,55.28,6.7,50,80,34.02,53.61,33.33,48.48
2025-10-28,3,3,2025-10-28 11:51:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,6,4374,永田 義紘,3,41,51.5,0,0,0.17,4.73,22.73,43.64,5.33,25.93,51.85,25.56,38.89,41.94,55.91
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,4136,江夏 満,1,45,52,0,0,0.16,6.9,52.71,75.19,6.2,45,65,32.35,50.98,26.88,48.39
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,4568,廣瀬 真也,2,37,52,1,0,0.14,5.79,31.82,58.18,5.59,40.98,57.38,37.86,52.43,30.43,48.91
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,5214,田中 宏典,3,26,54.5,0,0,0.2,5.45,29.47,55.79,2.92,16.67,25,25.77,38.14,38.84,53.72
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,4,3516,吉原 聖人,3,57,51.5,0,0,0.18,4.69,27.66,45.74,5.12,30.77,46.15,43.96,62.64,34.65,43.56
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,5,5242,高山 弘斗,3,25,54.8,0,0,0.2,3.78,18.48,31.52,2.86,8.33,16.67,47.78,66.67,34.51,49.56
2025-10-28,3,4,2025-10-28 12:17:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,6,5074,大澤 誠也,3,29,56,1,0,0.18,4.44,20.79,41.58,4.7,25.93,40.74,33.67,45.92,38.54,51.04
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,3313,本吉 正樹,3,60,56,1,0,0.19,3.91,17.53,24.74,4.79,28.69,46.72,45.83,62.5,42.17,54.22
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,4575,戸塚 邦好,2,37,52,1,0,0.14,6.23,43.75,65.63,6.82,48.61,70.83,27.55,43.88,37.37,49.49
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,5049,松井 友汰,2,30,52,1,0,0.17,5.99,38.94,65.49,5.84,36.84,60.53,36.19,57.14,20.62,39.18
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,4,5004,河野 主樹,4,29,52,1,0,0.16,4.77,27.96,45.16,5.44,44,48,20.83,41.67,41.58,61.39
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,5,3776,横井 健太,3,50,56.3,0,0,0.19,3.2,9.71,24.27,4.55,23.81,42.86,25.51,41.84,17.5,30
2025-10-28,3,5,2025-10-28 12:43:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,6,4368,山口 隆史,3,40,52.9,0,0,0.18,4.25,21.57,40.2,4.8,25.71,40,30.69,49.5,32.29,50
2025-10-28,3,6,2025-10-28 13:09:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,1,4692,酒井 俊弘,3,41,52.8,1,0,0.14,4.7,29.03,40.86,5.56,37.5,43.75,43,58,25.64,47.44
2025-10-28,3,6,2025-10-28 13:09:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,2,5031,渡辺 空依,3,28,53.5,1,0,0.19,4.3,21.67,38.33,0,0,0,44.44,60.61,39.58,60.42
2025-10-28,3,6,2025-10-28 13:09:00,5,第8回ういちの江戸川ナイスぅ〜っ!カップ,3,3874,山本 寛久,1,49,52.1,1,0,0.15,6.41,50.42,66.39,7.46,56.76,72.97,29.29,50.51,27.38,50
