race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,1,5306,河内 悠利杏,3,22,47,1,0,0.22,2.41,4.6,9.2,1.98,1.59,9.52,40.51,55.06,31.18,44.71
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,2,4501,樋口 由加里,2,37,45.5,0,0,0.16,5.58,39.68,56.35,4.5,26.92,42.31,27.34,47.48,37.06,58.24
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,3,5251,沼田 七華,3,23,53.2,1,0,0.19,2.51,0,7.84,1.89,0,0,35.19,50.62,31.71,49.39
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,4,4901,出口 舞有子,4,32,45,1,0,,4.69,19.44,44.44,0,0,0,29.77,43.51,35.15,52.12
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,5,5322,根岸 真優,4,23,46.5,1,0,0.19,1.93,2.78,6.94,0,0,0,37.74,56.6,40.94,54.39
2025-09-21,1,1,2025-09-21 15:21:00,4,オールレディース 第58回日刊スポーツ杯,6,5108,柴田 愛梨,4,26,47,0,0,,0,0,0,0,0,0,34.16,52.97,31.58,46.71
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,1,4891,寺島 美里,3,35,47,0,0,0.16,4.75,27.12,44.92,5.36,28.21,58.97,29.65,48.84,35.47,55.23
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,2,4987,島倉 都,3,28,49.4,0,0,0.19,3.82,12.12,31.82,4.85,32.79,42.62,32,48.5,32.17,46.15
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,3,4589,塩崎 桐加,3,33,50.5,1,0,0.17,5.7,43.96,58.24,6,35,65,34.69,50.34,25.9,48.8
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,4,4373,若狭 奈美子,2,37,46,0,0,0.19,6.29,47.42,63.92,4.57,33.33,38.1,34.27,53.15,32.75,54.39
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,5,5327,西田 和加,4,21,49.2,0,0,0.21,1.28,0,1.49,1,0,0,35.48,55.38,37.5,50
2025-09-21,1,2,2025-09-21 15:44:00,4,オールレディース 第58回日刊スポーツ杯,6,4240,今井 裕梨,1,41,44,0,0,0.15,5.69,43.52,56.48,5.94,44.78,53.73,29.17,48.21,47.37,64.91
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,1,5069,山崎 小葉音,3,24,43.5,1,0,0.15,5.06,32.93,48.78,5.5,42.11,50,33.33,49.72,35.93,50.9
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,2,4694,高田 綾,3,40,45,0,0,0.18,4.92,26.74,46.51,5,40,50,33.12,47.4,29.63,43.83
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,3,5254,羽田 妃希,4,22,47,0,0,0.22,3.98,16.98,28.3,0,0,0,42.39,61.41,33.54,46.34
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,4,4065,金田 幸子,2,45,44,0,0,0.17,5.65,37.08,55.06,5.85,40,60,38.73,55.63,31.74,49.7
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,5,4738,清埜 翔子,2,34,47,0,0,0.16,6.22,44.8,61.6,5.73,47.5,55,23.01,44.25,29.59,47.93
2025-09-21,1,3,2025-09-21 16:11:00,4,オールレディース 第58回日刊スポーツ杯,6,4283,石井 裕美,3,41,49.8,0,0,0.18,5.04,27.85,49.37,3.88,6.25,37.5,30,47.27,29.76,40.48
2025-09-21,1,4,2025-09-21 16:39:00,4,オールレディース 第58回日刊スポーツ杯,1,4726,島田 なぎさ,4,38,45,0,0,0.15,5.48,36.96,52.17,2.29,0,14.29,33.7,50,35.93,55.69
2025-09-21,1,4,2025-09-21 16:39:00,4,オールレディース 第58回日刊スポーツ杯,2,4994,山本 梨菜,2,27,47,0,0,0.19,6.34,42.99,66.36,5.21,21.05,63.16,33.16,48.98,30.91,48.48
2025-09-21,1,4,2025-09-21 16:39:00,4,オールレディース 第58回日刊スポーツ杯,3,4819,蜂須 瑞生,3,34,46.5,0,0,0.16,5.8,38.55,61.45,5.4,33.33,56.14,35.71,51.19,27.81,43.2
2025-09-21,1,4,2025-09-21 16:39:00,4,オールレディース 第58回日刊スポーツ杯,4,3900,香川 素子,2,48,47.5,1,0,0.18,6.39,50,67.05,5.84,38.71,58.06,40.12,56.17,36.69,53.25
2025-09-21,1,4,2025-09-21 16:39:00,4,オールレディース 第58回日刊スポーツ杯,5,4098,赤澤 文香,3,43,48.7,0,0,0.22,4.88,25,48.61,4.35,23.08,42.31,31.94,48.17,33.33,46.06
