race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,1,4022,待鳥 雄紀,3,45,55.8,0,0,0.15,4.75,23.96,41.67,4.67,29.63,37.04,43.33,57.33,24.32,36.76
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,2,4951,新田 洋一,2,32,55.2,1,0,0.15,5.19,29.47,49.47,0,0,0,26.36,42.64,29.51,43.72
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,3,4410,井上 大輔,3,39,52,0,0,0.18,5.33,35.45,50.91,3,6.67,26.67,36.41,53.8,47.8,65.93
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,4,4934,佐々木 翔斗,1,29,52.8,1,0,0.16,5.83,39.69,55.73,6.04,34.78,56.52,35.26,51.45,34.25,55.8
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,5,4245,高橋 直哉,3,43,52.9,0,0,0.18,4.97,29.31,43.97,4.84,25,43.75,28.06,48.2,35.36,50.83
2025-10-23,1,1,2025-10-23 15:25:00,4,サッポロビールカップ,6,3773,津留 浩一郎,3,51,55.2,0,0,0.16,4.84,31.52,46.74,5.05,26.32,52.63,24.52,40.65,23.89,40
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,1,4540,相原 利章,3,38,52,1,0,0.13,5.69,36.19,54.29,5.32,36,60,36.51,51.85,34.44,56.11
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,2,4436,渋谷 明憲,2,39,52.5,0,0,0.16,6.17,44.53,66.41,6.58,48,66,30.66,48.58,33.7,52.17
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,3,4981,牧山 敦也,3,29,52,0,0,0.16,5.41,39.82,55.75,5.33,44.44,55.56,27.98,42.86,36.81,54.4
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,4,5216,長谷川 晴哉,2,25,52.3,1,0,0.16,5.71,41.22,53.44,5.84,38.41,58.28,33.82,49.28,31.9,45.4
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,5,3793,高橋 真吾,3,53,57.4,1,0,0.16,4.61,27.59,43.68,4.05,22.5,40,31.84,44.78,31.72,50
2025-10-23,1,2,2025-10-23 15:56:00,4,サッポロビールカップ,6,3978,齊藤 仁,1,48,51.5,0,0,0.14,6.82,43.61,60.9,6.76,29.41,58.82,30.43,50.31,37.84,53.51
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,1,4485,楠原 正剛,3,39,53.7,1,0,0.16,5.3,37.5,50.89,0,0,0,27.78,48.15,30,47.22
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,2,4293,鈴木 智啓,2,40,58.7,0,0,0.16,5.86,41.67,60.61,4.54,30.77,34.62,40.37,55.9,31.52,46.2
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,3,3685,荒井 輝年,3,51,56.7,1,0,0.17,5.21,33.04,53.04,4.3,20,50,38.37,53.49,30.17,43.58
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,4,4863,三浦 裕貴,3,36,53.7,1,0,0.13,4.39,28.07,38.6,5.17,33.33,55.56,36.02,52.69,30,49.44
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,5,4118,宇佐見 淳,1,44,52,0,0,0.15,6.38,44.85,63.97,5,33.33,33.33,32.06,48.33,36.46,52.49
2025-10-23,1,3,2025-10-23 16:23:00,4,サッポロビールカップ,6,5012,加倉 侑征,2,28,52,1,0,0.12,5.61,37.98,54.26,4.56,20.59,41.18,31.11,49.44,29.05,44.13
2025-10-23,1,4,2025-10-23 16:53:00,4,サッポロビールカップ,1,3680,森林 太,3,52,53.6,0,0,0.21,4.4,20.88,41.76,0,0,0,32.95,50.87,35.56,47.78
