race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,1,3293,宮内 由紀英,3,60,52,0,0,0.2,3.33,9.21,22.37,4.21,10.53,42.11,39.1,59.4,29.58,54.93
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,2,4023,柴田 友和,3,48,52,0,0,0.17,3.93,19.28,32.53,4.3,15,35,36,49.33,36.05,55.78
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,3,3963,原田 秀弥,2,47,52.5,0,0,0.17,5.77,36.54,61.54,5.38,27.59,62.07,41.18,59.66,28.97,41.38
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,4,5439,志賀 美優,4,20,49.9,0,0,0.21,1.49,1.49,2.99,0,0,0,27.78,39.68,23.4,38.3
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,5,3505,山田 竜一,2,55,52,0,0,0.14,5.45,34.48,54.02,6.45,55,65,36.81,50.69,39.04,54.79
2026-07-18,1,1,2026-07-18 15:24:00,5,第48回デイリースポーツ杯,6,3502,渡邉 英児,2,57,52.5,0,0,0.16,6.01,42.05,67.05,3.75,25,25,32.26,48.39,33.57,53.57
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,1,4846,佐藤 駿介,3,32,52,0,0,0.17,4.48,25,42.05,4.31,18.75,37.5,42.16,56.86,33.33,47.22
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,2,3303,渡辺 豊,3,58,53,0,0,0.2,4.59,22.73,41.82,5.02,33.33,50,31.94,50.69,30.61,46.94
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,3,4888,金児 隆太,3,38,52.4,0,0,0.19,4.96,31.58,43.42,5.38,32.5,51.67,31.17,52.6,26.39,43.06
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,4,4706,三浦 洋次朗,2,37,51.5,1,0,0.17,5.86,42.24,56.03,5.04,22.22,44.44,25.42,48.31,29.14,45.03
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,5,4230,濱崎 直矢,2,43,53.8,0,0,0.16,6.95,55.7,69.62,6.76,52.38,66.67,47.37,70.18,26.57,41.96
2026-07-18,1,2,2026-07-18 15:50:00,5,第48回デイリースポーツ杯,6,5150,坂本 雄紀,1,31,52.1,1,0,0.14,6.27,48.08,64.42,6.02,46.62,62.41,38.62,57.93,32.65,48.3
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,1,4638,小林 遼太,3,35,52,0,0,0.18,5.32,34.04,56.38,3.92,23.08,26.92,45.69,63.79,30.07,45.45
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,2,4246,喜多 那由夏,3,44,47.2,0,0,0.18,4.52,24.72,43.82,6.2,30,70,35.56,54.07,29.86,45.14
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,3,4711,前出 達吉,2,36,51.5,0,0,0.16,6.23,44.09,68.82,5.63,37.5,62.5,30.34,48.28,37.58,59.73
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,4,4393,田中 孝明,3,40,57.8,0,0,0.2,4.24,18.29,31.71,3.6,6.67,26.67,36.6,51.63,25.85,43.54
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,5,4108,吉村 正明,1,46,51.5,0,0,0.14,6.41,46.91,64.2,0,0,0,50.81,67.74,42.25,54.93
2026-07-18,1,3,2026-07-18 16:16:00,5,第48回デイリースポーツ杯,6,4734,安河内 将,1,36,52,0,0,0.14,6.71,52.54,71.19,0,0,0,43.94,56.82,32.87,50.35
