wind_band,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0-1,19035,0.5766,0.7606,0.0992,0.5746,19014,0
2-3,35540,0.551,0.7477,0.1022,0.5491,35435,0
4-5,16836,0.522,0.7287,0.1064,0.521,16728,0
6+,5464,0.4753,0.6958,0.1131,0.4705,5411,0
