confidence_quintile,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
Q1,15375,0.3624,0.6407,0.1232,0.3513,15163,0
Q2,15375,0.4896,0.7118,0.1129,0.4893,15352,0
Q3,15375,0.552,0.7524,0.1051,0.552,15354,0
Q4,15375,0.6166,0.7852,0.0956,0.6165,15365,0
Q5,15375,0.7073,0.8253,0.0791,0.7072,15354,0
