entry_course_actual,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,75270,0.5522,0.7467,0.1024,0.552,75122,0
2,983,0.2208,0.5992,0.1432,0.1208,952,0
3,314,0.3694,0.6115,0.1278,0.1362,279,0
4,114,0.2544,0.4825,0.1363,0.1867,75,0
5,43,0.2326,0.4186,0.1344,0.1852,27,0
6,42,0.119,0.2857,0.1461,0.2083,24,0
