actual_kimarite,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,40234,0.9863,0.9955,0.044,0.9889,40099,0
2,9311,0.0111,0.5282,0.1692,0.0025,9273,0
3,12267,0.0157,0.4377,0.1732,0.0059,12208,0
4,9433,0.005,0.3499,0.1828,0.0005,9403,0
5,5007,0.3651,0.6447,0.1268,0.3612,4983,0
6,622,0.1447,0.4116,0.1651,0.1449,621,0
