race_wind_direction_number,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
10,6,0.6667,1.0,0.0799,1
11,5,0.6,0.8,0.0922,1
13,10,0.6,0.7,0.0941,0
15,6,0.5,1.0,0.0918,1
17,15,0.7333,0.8667,0.073,0
3,7,0.5714,0.5714,0.1089,1
4,10,0.6,0.8,0.0906,0
5,13,0.6154,0.6923,0.0967,0
6,5,0.4,1.0,0.0981,1
7,1,1.0,1.0,0.0405,1
9,1,0.0,0.0,0.1816,1
