venue_code,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
11,8,0.5,0.875,0.0958,1
13,8,0.5,1.0,0.09,1
14,12,0.5833,0.6667,0.0928,0
18,7,0.7143,0.7143,0.0935,1
22,5,0.8,1.0,0.0618,1
23,11,0.5455,0.8182,0.0959,0
4,7,0.2857,0.5714,0.1356,1
5,8,0.625,0.625,0.1031,1
8,7,0.7143,0.8571,0.0834,1
9,6,1.0,1.0,0.0315,1
