wave_band,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
0,17,0.7059,0.9412,0.0712,0
1-2,30,0.6,0.7667,0.0936,0
3-4,16,0.5625,0.75,0.0974,0
5+,16,0.5625,0.75,0.0992,0
