wind_band,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
0-1,79,0.6456,0.8228,0.0885,0
2-3,112,0.5179,0.7143,0.1056,0
4-5,62,0.6452,0.7903,0.0921,0
6+,6,0.3333,0.6667,0.1407,1
