stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
2,4,2-3,1041,152,0.146,0,0.0,0
2,4,4-5,392,62,0.1582,0,0.0,0
2,4,6+,209,28,0.134,0,0.0,0
2,5,0-1,1465,116,0.0792,0,0.0,0
2,5,2-3,1041,75,0.072,0,0.0,0
2,5,4-5,392,28,0.0714,0,0.0,0
2,5,6+,209,17,0.0813,0,0.0,0
2,6,0-1,1453,31,0.0213,0,0.0,0
2,6,2-3,1028,37,0.036,0,0.0,0
2,6,4-5,388,10,0.0258,0,0.0,0
2,6,6+,209,4,0.0191,0,0.0,0
20,1,0-1,837,556,0.6643,534,0.638,0
20,1,2-3,1223,692,0.5658,659,0.5388,0
20,1,4-5,912,491,0.5384,466,0.511,0
20,1,6+,289,137,0.474,121,0.4187,0
20,2,0-1,837,86,0.1027,0,0.0,0
20,2,2-3,1223,155,0.1267,0,0.0,0
20,2,4-5,912,124,0.136,0,0.0,0
20,2,6+,289,44,0.1522,0,0.0,0
20,3,0-1,837,65,0.0777,0,0.0,0
20,3,2-3,1223,153,0.1251,0,0.0,0
20,3,4-5,912,114,0.125,0,0.0,0
20,3,6+,289,45,0.1557,0,0.0,0
20,4,0-1,837,72,0.086,0,0.0,0
20,4,2-3,1223,121,0.0989,0,0.0,0
20,4,4-5,912,112,0.1228,0,0.0,0
20,4,6+,289,36,0.1246,0,0.0,0
20,5,0-1,837,42,0.0502,0,0.0,0
20,5,2-3,1223,73,0.0597,0,0.0,0
20,5,4-5,912,52,0.057,0,0.0,0
20,5,6+,289,18,0.0623,0,0.0,0
20,6,0-1,828,16,0.0193,0,0.0,0
20,6,2-3,1211,29,0.0239,0,0.0,0
20,6,4-5,904,19,0.021,0,0.0,0
20,6,6+,285,9,0.0316,0,0.0,0
21,1,0-1,828,525,0.6341,497,0.6002,0
21,1,2-3,1276,751,0.5886,717,0.5619,0
21,1,4-5,969,543,0.5604,515,0.5315,0
21,1,6+,175,99,0.5657,91,0.52,0
21,2,0-1,828,68,0.0821,0,0.0,0
21,2,2-3,1276,141,0.1105,0,0.0,0
21,2,4-5,969,106,0.1094,0,0.0,0
21,2,6+,175,19,0.1086,0,0.0,0
21,3,0-1,828,68,0.0821,0,0.0,0
21,3,2-3,1276,137,0.1074,0,0.0,0
21,3,4-5,969,129,0.1331,0,0.0,0
21,3,6+,175,26,0.1486,0,0.0,0
21,4,0-1,828,84,0.1014,0,0.0,0
21,4,2-3,1276,145,0.1136,0,0.0,0
21,4,4-5,969,88,0.0908,0,0.0,0
21,4,6+,175,22,0.1257,0,0.0,0
21,5,0-1,828,66,0.0797,0,0.0,0
21,5,2-3,1276,79,0.0619,0,0.0,0
21,5,4-5,969,77,0.0795,0,0.0,0
21,5,6+,175,6,0.0343,0,0.0,0
21,6,0-1,821,17,0.0207,0,0.0,0
21,6,2-3,1260,23,0.0183,0,0.0,0
21,6,4-5,959,26,0.0271,0,0.0,0
21,6,6+,172,3,0.0174,0,0.0,0
22,1,0-1,300,190,0.6333,174,0.58,0
22,1,2-3,2069,1200,0.58,1141,0.5515,0
22,1,4-5,699,381,0.5451,355,0.5079,0
22,1,6+,69,35,0.5072,33,0.4783,0
22,2,0-1,300,37,0.1233,0,0.0,0
22,2,2-3,2069,299,0.1445,0,0.0,0
22,2,4-5,699,112,0.1602,0,0.0,0
22,2,6+,69,16,0.2319,0,0.0,0
22,3,0-1,300,37,0.1233,0,0.0,0
22,3,2-3,2069,315,0.1522,0,0.0,0
22,3,4-5,699,105,0.1502,0,0.0,0
22,3,6+,69,8,0.1159,0,0.0,0
22,4,0-1,300,24,0.08,0,0.0,0
22,4,2-3,2069,155,0.0749,0,0.0,0
22,4,4-5,699,64,0.0916,0,0.0,0
22,4,6+,69,8,0.1159,0,0.0,0
22,5,0-1,300,11,0.0367,0,0.0,0
22,5,2-3,2068,79,0.0382,0,0.0,0
22,5,4-5,699,25,0.0358,0,0.0,0
22,5,6+,69,2,0.029,0,0.0,0
22,6,0-1,295,1,0.0034,0,0.0,0
22,6,2-3,2053,20,0.0097,0,0.0,0
22,6,4-5,696,12,0.0172,0,0.0,0
22,6,6+,67,0,0.0,0,0.0,0
23,1,0-1,347,233,0.6715,226,0.6513,0
23,1,2-3,1215,697,0.5737,665,0.5473,0
23,1,4-5,1045,553,0.5292,534,0.511,0
23,1,6+,402,191,0.4751,172,0.4279,0
23,2,0-1,347,37,0.1066,0,0.0,0
23,2,2-3,1215,173,0.1424,0,0.0,0
23,2,4-5,1045,153,0.1464,0,0.0,0
23,2,6+,402,65,0.1617,0,0.0,0
