confidence_quintile,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
Q1,16,0.4375,0.75,0.1111,0
Q2,16,0.4375,0.6875,0.1183,0
Q3,16,0.6875,0.8125,0.0882,0
Q4,16,0.5,0.75,0.1106,0
Q5,15,1.0,1.0,0.021,0
