fetched_at,race_date,stadium_number,race_number,race_closed_at,bet_type,combination,odds
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,1-2,10.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,2-1,69.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,3-1,48.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,4-1,41.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,5-1,13.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,6-1,56.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,1-3,7.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,2-3,104.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,3-2,133.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,4-2,244.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,5-2,163.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,6-2,1467.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,1-4,6.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,2-4,133.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,3-4,293.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,4-3,146.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,5-3,91.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,6-3,244.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,1-5,2.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,2-5,209.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,3-5,133.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,4-5,61.1
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,5-4,183.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,6-4,366.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,1-6,6.1
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,2-6,733.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,3-6,183.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,4-6,163.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,5-6,21.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連単,6-5,36.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,1=2,7.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,1=3,6.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,2=3,87.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,1=4,6.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,2=4,38.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,3=4,69.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,1=5,2.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,2=5,31.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,3=5,58.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,4=5,21.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,1=6,5.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,2=6,58.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,3=6,38.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,4=6,23.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,2連複,5=6,13.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-2-3,48.1
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-1-3,267.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-1-2,295.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-1-2,598.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-1-2,109.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-1-2,385.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-2-4,78.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-1-4,458.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-1-4,300.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-1-3,465.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-1-3,63.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-1-3,278.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-2-5,29.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-1-5,428.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-1-5,143.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-1-5,166.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-1-4,81.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-1-4,366.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-2-6,51.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-1-6,703.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-1-6,336.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-1-6,207.8
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-1-6,24.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-1-5,54.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-3-2,46.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-3-1,454.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-2-1,480.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-2-1,1008.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-2-1,205.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-2-1,1186.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-3-4,40.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-3-4,711.6
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-2-4,530.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-2-3,889.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-2-3,916.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-2-3,1728.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-3-5,11.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-3-5,817.3
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-2-5,672.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-2-5,1163.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-2-4,1042.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-2-4,2326.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-3-6,20.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-3-6,1374.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-2-6,945.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-2-6,785.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-2-6,806.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-2-5,1779.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-4-2,70.7
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-4-1,960.0
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-4-1,695.2
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-3-1,930.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,5-3-1,120.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,6-3-1,643.4
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,1-4-3,54.9
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,2-4-3,991.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,3-4-2,889.5
2026-09-21T12:54:40+0900,2026-09-21,17,6,2026-09-21 13:09:00,3連単,4-3-2,1406.0
