entry_course_actual,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,74974,0.5531,0.7457,0.1023,0.5529,74846,0
2,1118,0.2245,0.593,0.141,0.1451,1075,0
3,421,0.3753,0.6128,0.1258,0.1719,384,0
4,163,0.2761,0.5215,0.1316,0.1933,119,0
5,46,0.2609,0.4783,0.1311,0.2759,29,0
6,43,0.1163,0.3488,0.1455,0.24,25,0
