motor_2rate_band,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
30-35,19145,0.538,0.7373,0.1043,0.535,19124,0
35-40,15833,0.5561,0.7472,0.1018,0.555,15782,0
40-45,9237,0.5717,0.7482,0.1004,0.57,9176,0
45+,7261,0.5901,0.7641,0.0975,0.5886,7178,0
<30,25399,0.5225,0.7324,0.1058,0.521,25328,0
