wave_band,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0,4967,0.5673,0.7628,0.0997,0.5668,4959,0
1-2,39520,0.566,0.7537,0.1005,0.5648,39421,0
3-4,22964,0.5277,0.732,0.1054,0.5259,22863,0
5+,9424,0.4923,0.7024,0.1108,0.486,9345,0
