racer_number,racer_name,races,wins,win_rate
4076,杉田 篤光,368,55,0.1495
4357,田中 和也,368,113,0.3071
4237,大峯 豊,368,108,0.2935
3679,飯島 昌弘,368,76,0.2065
3641,一瀬 明,368,82,0.2228
3941,池田 浩二,368,119,0.3234
4483,北野 輝季,368,119,0.3234
4452,松尾 祭,368,58,0.1576
4601,森野 正弘,368,99,0.269
3888,山本 英志,368,64,0.1739
4379,桑島 和宏,368,68,0.1848
4033,伊藤 将吉,367,96,0.2616
4537,渡邉 和将,367,108,0.2943
4174,赤坂 俊輔,367,89,0.2425
4049,荒川 健太,367,78,0.2125
5280,廣瀬 凜,367,97,0.2643
4808,松尾 拓,366,86,0.235
4907,小池 修平,366,117,0.3197
4822,百武 翔,366,75,0.2049
4350,篠崎 元志,366,116,0.3169
5028,原田 才一郎,366,116,0.3169
4451,松崎 祐太郎,366,82,0.224
3841,佐々木 和伸,365,75,0.2055
4259,真庭 明志,365,71,0.1945
4384,鶴本 崇文,365,80,0.2192
4375,照屋 厚仁,365,83,0.2274
4109,谷津 幸宏,365,93,0.2548
4467,渡邉 俊介,364,76,0.2088
4796,春園 功太,364,100,0.2747
3833,中辻 博訓,364,96,0.2637
4501,樋口 由加里,364,67,0.1841
4436,渋谷 明憲,364,85,0.2335
4688,永井 彪也,363,99,0.2727
4903,吉田 凌太朗,363,117,0.3223
4624,高田 明,363,100,0.2755
5267,石本 裕武,363,121,0.3333
4308,河村 了,363,96,0.2645
5298,水谷 理人,363,104,0.2865
4787,椎名 豊,362,121,0.3343
4539,金子 賢志,362,88,0.2431
4193,郷原 章平,362,94,0.2597
4208,三浦 永理,362,106,0.2928
4543,重木 輝彦,362,94,0.2597
3909,佐々木 康幸,361,118,0.3269
4042,丸岡 正典,361,81,0.2244
3911,鈴木 猛,361,51,0.1413
4645,上村 純一,360,96,0.2667
5256,中山 翔太,360,101,0.2806
4387,平山 智加,360,102,0.2833
3783,瓜生 正義,360,79,0.2194
4570,前田 聖文,360,84,0.2333
5234,塚越 海斗,360,95,0.2639
4134,杉山 貴博,359,67,0.1866
4043,桐本 康臣,359,74,0.2061
4024,井口 佳典,359,82,0.2284
5222,津田 陸翔,359,80,0.2228
4793,金子 萌,359,93,0.2591
4959,井上 忠政,359,113,0.3148
3740,大澤 普司,358,92,0.257
5015,高橋 竜矢,358,106,0.2961
4216,星 栄爾,358,54,0.1508
4133,高橋 正男,358,76,0.2123
4348,宮崎 奨,358,55,0.1536
4228,吉田 慎二郎,358,71,0.1983
3334,角 ひとみ,357,59,0.1653
5029,中 亮太,357,99,0.2773
3582,吉川 昭男,357,94,0.2633
4311,岡村 仁,357,102,0.2857
5221,竹間 隆晟,357,102,0.2857
4418,茅原 悠紀,357,116,0.3249
4105,松下 直也,357,43,0.1204
5017,澤田 尚也,357,108,0.3025
4980,佐々木 完太,357,105,0.2941
4409,坂元 浩仁,356,99,0.2781
4949,横田 貴満,356,83,0.2331
4500,山田 康二,356,128,0.3596
4608,荒井 翔伍,356,64,0.1798
4927,関野 文,356,69,0.1938
4233,亀山 雅幸,356,72,0.2022
4428,有賀 達也,355,84,0.2366
4293,鈴木 智啓,355,54,0.1521
4210,松村 康太,355,52,0.1465
4370,山口 達也,355,123,0.3465
5126,山下 大輝,355,106,0.2986
4256,渡辺 浩司,355,90,0.2535
4073,大橋 純一郎,354,80,0.226
4596,葛原 大陽,354,71,0.2006
3853,岩崎 正哉,354,65,0.1836
4873,蒲原 健太,354,63,0.178
5042,畑田 汰一,353,103,0.2918
5068,前田 滉,353,134,0.3796
3663,木山 和幸,353,51,0.1445
5160,藤森 陸斗,353,69,0.1955
3422,服部 幸男,353,98,0.2776
4967,中村 魁生,353,87,0.2465
4551,三川 昂暁,353,61,0.1728
5224,西岡 顕心,353,94,0.2663
3965,北中 元樹,353,81,0.2295
4579,中嶋 健一郎,352,82,0.233
4502,遠藤 エミ,352,108,0.3068
3872,岡田 憲行,352,68,0.1932
4930,佐藤 悠,352,69,0.196
4908,上田 龍星,352,114,0.3239
3822,平尾 崇典,352,98,0.2784
4437,中田 元泰,352,84,0.2386
4516,野口 勝弘,351,84,0.2393
5229,吉川 晴人,351,69,0.1966
4434,田中 辰彦,351,91,0.2593
4736,高倉 和士,351,102,0.2906
4448,青木 玄太,351,98,0.2792
5188,武井 莉里佳,351,79,0.2251
5096,上原 崚,351,72,0.2051
4298,宮下 元胤,351,61,0.1738
4910,中村 泰平,351,110,0.3134
3541,三嶌 誠司,351,74,0.2108
4030,森高 一真,351,55,0.1567
4266,長田 頼宗,350,102,0.2914
4470,平田 健之佑,350,84,0.24
4932,新開 航,350,112,0.32
5026,安河内 健,350,97,0.2771
3907,村越 篤,350,66,0.1886
4610,佐藤 大佑,350,97,0.2771
4547,中田 竜太,349,78,0.2235
4611,今井 美亜,349,89,0.255
3435,寺田 千恵,349,75,0.2149
4292,麻生 慎介,349,91,0.2607
5193,米丸 乃絵,349,95,0.2722
4079,出畑 孝典,349,76,0.2178
3655,本橋 克洋,348,46,0.1322
3550,都築 正治,348,71,0.204
4227,安達 裕樹,348,72,0.2069
4239,竹田 辰也,348,95,0.273
5330,安河内 鈴之介,348,92,0.2644
4904,松本 一毅,348,50,0.1437
4482,守屋 美穂,348,98,0.2816
3256,三角 哲男,348,89,0.2557
3743,林 美憲,348,86,0.2471
3618,海野 ゆかり,348,86,0.2471
5087,佐藤 航,347,90,0.2594
3959,坪井 康晴,347,102,0.2939
5255,藤原 仙二,347,88,0.2536
4477,篠崎 仁志,347,86,0.2478
4066,東本 勝利,346,70,0.2023
4994,山本 梨菜,346,71,0.2052
4811,向井田 佑紀,346,42,0.1214
4950,高岡 竜也,346,88,0.2543
4241,大串 重幸,346,52,0.1503
4593,小坂 宗司,346,62,0.1792
3415,松井 繁,346,78,0.2254
4536,喜井 つかさ,346,70,0.2023
4762,藤原 啓史朗,346,119,0.3439
4364,池永 太,346,105,0.3035
4459,片岡 雅裕,346,68,0.1965
3898,平田 忠則,346,109,0.315
3406,中里 英夫,346,50,0.1445
4335,若林 将,346,102,0.2948
3721,守田 俊介,346,107,0.3092
3303,渡辺 豊,346,30,0.0867
4545,岡村 慶太,346,115,0.3324
4754,松尾 充,345,86,0.2493
5010,宇留田 翔平,345,64,0.1855
4961,西橋 奈未,345,95,0.2754
4148,枝尾 賢,345,61,0.1768
4734,安河内 将,345,107,0.3101
3978,齊藤 仁,345,75,0.2174
4925,森 悠稀,345,64,0.1855
3158,島川 光男,345,77,0.2232
4373,若狭 奈美子,345,73,0.2116
4586,磯部 誠,344,84,0.2442
4706,三浦 洋次朗,344,68,0.1977
5278,田中 駿兵,344,123,0.3576
4674,池田 剛規,344,55,0.1599
5055,眞鳥 章太,344,75,0.218
4044,湯川 浩司,344,90,0.2616
3719,辻 栄蔵,344,72,0.2093
4083,福島 勇樹,344,114,0.3314
4407,鹿島 敏弘,343,36,0.105
3686,鳥居塚 孝博,343,66,0.1924
4188,久田 敏之,343,134,0.3907
4962,畑 竜生,343,73,0.2128
4344,新田 雄史,343,97,0.2828
4686,丸野 一樹,343,99,0.2886
4015,前野 竜一,343,54,0.1574
4506,稗田 聖也,343,84,0.2449
4590,渡邉 優美,343,89,0.2595
4524,深谷 知博,343,85,0.2478
4642,松尾 夏海,343,110,0.3207
4934,佐々木 翔斗,343,62,0.1808
4804,高田 ひかる,343,97,0.2828
5051,松本 純平,342,91,0.2661
4297,山田 哲也,342,92,0.269
5002,上田 健太,342,76,0.2222
3661,柳瀬 興志,342,43,0.1257
3777,樋口 亮,342,69,0.2018
3874,山本 寛久,342,87,0.2544
4790,柳内 敬太,342,81,0.2368
4002,古結 宏,342,97,0.2836
4314,青木 幸太郎,342,78,0.2281
3779,原田 幸哉,342,98,0.2865
4019,笠原 亮,342,92,0.269
4496,内堀 学,341,93,0.2727
4478,櫻本 あゆみ,341,78,0.2287
3623,深川 真二,341,125,0.3666
3300,川崎 智幸,341,75,0.2199
4231,鈴木 裕隆,341,62,0.1818
4432,黄金井 力良,340,43,0.1265
4342,谷野 錬志,340,103,0.3029
4360,庄司 孝輔,340,59,0.1735
3951,石川 吉鎬,340,53,0.1559
4748,渡邉 雄朗,340,83,0.2441
3850,小川 知行,339,41,0.1209
4336,松田 竜馬,339,45,0.1327
4168,石野 貴之,339,99,0.292
3716,石渡 鉄兵,339,72,0.2124
5326,三嶌 さらら,339,33,0.0973
4848,仲谷 颯仁,339,85,0.2507
3981,今坂 晃広,338,46,0.1361
5134,大原 祥昌,338,65,0.1923
3912,川原 正明,338,85,0.2515
4427,秦 英悟,338,111,0.3284
4584,村岡 賢人,338,93,0.2751
5016,宮田 龍馬,338,105,0.3107
4290,稲田 浩二,338,86,0.2544
4069,山本 修一,338,60,0.1775
4703,森永 隆,338,78,0.2308
4505,島田 賢人,337,84,0.2493
4530,小野 生奈,337,113,0.3353
4562,阪本 勇介,337,20,0.0593
4156,浜野 孝志,337,60,0.178
4121,富永 修一,337,71,0.2107
5158,宮脇 遼太,337,99,0.2938
5066,鈴木 孝明,337,82,0.2433
4294,古賀 繁輝,337,102,0.3027
4851,関 浩哉,336,97,0.2887
5045,平川 香織,336,61,0.1815
5089,前田 翔,336,94,0.2798
3933,山地 正樹,336,55,0.1637
4381,田路 朋史,336,72,0.2143
4877,鈴谷 一平,336,99,0.2946
4155,長野 壮志郎,336,76,0.2262
3662,大庭 元明,336,60,0.1786
4468,大池 佑来,336,102,0.3036
4644,山田 亮太,335,78,0.2328
3499,市川 哲也,335,79,0.2358
4978,山田 和佐,335,38,0.1134
4574,東 潤樹,335,42,0.1254
4850,野中 一平,335,92,0.2746
3572,安田 政彦,335,47,0.1403
3837,秋山 広一,335,83,0.2478
3505,山田 竜一,335,52,0.1552
4443,津田 裕絵,335,54,0.1612
4438,森作 雄大,335,72,0.2149
5038,金田 智博,335,83,0.2478
4532,秋元 哲,334,100,0.2994
4759,今泉 友吾,334,81,0.2425
4828,松山 将吾,334,84,0.2515
4028,田村 隆信,334,88,0.2635
3439,大平 誉史明,334,72,0.2156
4928,栗城 匠,334,105,0.3144
4445,宮地 元輝,334,79,0.2365
4578,藤山 雅弘,334,76,0.2275
