course_number,races,wins,win_rate,avg_win_payout
1,78035,42783,0.5483,167.6
2,78035,10461,0.1341,520.0
3,78035,10152,0.1301,581.1
4,78035,8238,0.1056,693.3
5,78027,4855,0.0622,1065.5
6,77230,1532,0.0198,1482.7
