race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,1,4988,牟田 奨太,3,29,53.9,0,0,0.16,4.46,32.32,42.42,4.53,30,37.5,22.22,33.33,17.65,23.53
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,2,5386,米玉利 大悟,3,20,53.5,0,0,0.17,2.64,5.08,18.64,0,0,0,20,45,27.27,63.64
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,3,3793,高橋 真吾,3,53,57.6,0,0,0.17,4.15,21.82,41.82,5.03,29.41,55.88,22.22,33.33,20,26.67
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,4,3807,岡部 哲,3,51,51,0,0,0.18,4.49,24.24,42.42,4.19,25.93,29.63,17.65,29.41,0,0
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,5,4138,中井 俊祐,3,45,51.5,0,0,0.17,4.58,23.33,41.11,3.78,18.52,25.93,0,0,0,22.22
2026-05-09,5,1,2026-05-09 11:40:00,5,第21回マンスリーBOATRACE杯,6,3895,堀本 裕也,3,49,48.5,0,0,0.18,3.88,20,34,4,12.5,37.5,54.55,63.64,36.36,81.82
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,1,3787,天野 誠,3,54,52,0,0,0.18,3.94,15.71,32.86,0,0,0,36.36,54.55,30,60
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,2,4797,中山 将,2,34,53.7,0,0,0.15,6.76,52.78,75,5.94,41.18,52.94,45.45,81.82,11.11,27.78
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,3,3303,渡辺 豊,3,58,52.3,0,0,0.2,5.27,33.65,51.92,5.49,34.29,65.71,11.11,11.11,36.36,72.73
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,4,3075,中村 裕将,3,63,55.6,0,0,0.13,4.15,25,34.52,4.67,20,46.67,0,0,80,100
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,5,3202,三品 隆浩,3,61,53.3,0,0,0.2,4.33,23.91,33.7,4.6,22.22,37.78,22.22,44.44,22.22,44.44
2026-05-09,5,2,2026-05-09 12:08:00,5,第21回マンスリーBOATRACE杯,6,4016,西川 新太郎,3,46,55.1,0,0,0.15,5.26,32.94,50.59,5.3,37.84,51.35,60,90,36.36,81.82
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,1,3659,藤生 雄人,3,51,52.4,0,0,0.17,5.79,39.51,64.2,4.89,25,53.57,20,60,40,40
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,2,4230,濱崎 直矢,1,43,52.7,0,0,0.14,7.04,55.88,69.12,6.62,61.9,66.67,12.5,25,44.44,44.44
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,3,4057,松井 賢治,2,47,52.2,0,0,0.16,6.02,46.4,61.6,5.72,40,56,27.27,72.73,36.36,54.55
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,4,5279,石渡 翔一郎,3,23,53,0,0,0.16,4.8,35,45,5.14,28,56,22.22,55.56,54.55,63.64
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,5,4976,金山 立樹,4,32,52.6,0,0,0.21,5.12,32.93,51.22,6.02,34.04,63.83,36.36,54.55,31.25,31.25
2026-05-09,5,3,2026-05-09 12:39:00,5,第21回マンスリーBOATRACE杯,6,4439,近藤 友宝,3,39,54.6,0,0,0.17,4.2,20.73,34.15,3.68,14.71,23.53,50,70,57.89,78.95
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,1,5301,岩下 巧斗,3,23,52,0,0,0.16,5.1,28.05,43.9,2.72,4,16,60,80,12.5,12.5
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,2,3517,高橋 勲,2,58,52.2,0,0,0.15,5.86,38.1,63.49,5.5,38,56,26.32,63.16,56.25,68.75
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,3,3105,内山 文典,3,62,52,0,0,0.16,4.91,24.71,50.59,4.84,32,44,36.36,72.73,0,0
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,4,4926,吉川 貴仁,1,32,52.4,0,0,0.14,7.8,65.79,82.89,6.22,55.56,61.11,80,95,20,40
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,5,4557,松尾 光広,3,36,52.9,0,0,0.17,4.16,15.85,37.8,0,0,0,21.05,31.58,70,90
2026-05-09,5,4,2026-05-09 13:07:00,5,第21回マンスリーBOATRACE杯,6,3544,豊田 訓靖,4,57,52.6,0,0,0.21,3.67,17.24,27.59,5.06,18.75,50,12.5,12.5,14.29,42.86
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,1,4568,廣瀬 真也,2,38,51.5,0,0,0.16,5.31,33.72,52.33,5.29,25.45,52.73,11.11,33.33,54.55,72.73
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,2,4276,鈴木 勝博,2,43,52.5,0,0,0.15,5.65,40.63,51.04,5.36,45.45,54.55,11.11,44.44,11.11,22.22
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,3,3538,菊池 峰晴,3,58,53.5,0,0,0.2,4.71,28.57,50,4.77,19.23,38.46,11.11,33.33,22.22,33.33
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,4,3558,山本 浩次,3,53,52.6,0,0,0.14,4.63,22.22,41.98,4.12,11.76,35.29,12.5,12.5,70,100
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,5,3793,高橋 真吾,3,53,57.6,0,0,0.17,4.15,21.82,41.82,5.03,29.41,55.88,22.22,33.33,20,26.67
2026-05-09,5,5,2026-05-09 13:41:00,5,第21回マンスリーBOATRACE杯,6,4138,中井 俊祐,3,45,51.5,0,0,0.17,4.58,23.33,41.11,3.78,18.52,25.93,0,0,0,22.22
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,1,4376,藤田 靖弘,2,41,52,0,0,0.16,5.63,39.52,50.81,5.23,23.08,46.15,50,60,33.33,44.44
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,2,4575,戸塚 邦好,1,37,51.5,0,0,0.13,6.08,40,62.5,6.28,40.74,66.67,33.33,33.33,33.33,55.56
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,3,3787,天野 誠,3,54,52,0,0,0.18,3.94,15.71,32.86,0,0,0,36.36,54.55,30,60
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,4,4725,佐竹 太一,3,39,52.8,0,0,0.21,5.04,30.95,45.24,6.4,60,70,12.5,12.5,22.22,27.78
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,5,4988,牟田 奨太,3,29,53.9,0,0,0.16,4.46,32.32,42.42,4.53,30,37.5,22.22,33.33,17.65,23.53
2026-05-09,5,6,2026-05-09 14:09:00,5,第21回マンスリーBOATRACE杯,6,5411,木下 虎之輔,4,20,55,0,0,0.19,1.71,0,0,1.54,0,4.17,70,80,45.45,54.55
2026-05-09,5,7,2026-05-09 14:38:00,5,第21回マンスリーBOATRACE杯,1,4269,杉山 裕也,1,40,52.4,0,0,0.15,5.79,37,57,6.49,48.78,58.54,12.5,12.5,60,70
2026-05-09,5,7,2026-05-09 14:38:00,5,第21回マンスリーBOATRACE杯,2,3895,堀本 裕也,3,49,48.5,0,0,0.18,3.88,20,34,4,12.5,37.5,54.55,63.64,36.36,81.82
2026-05-09,5,7,2026-05-09 14:38:00,5,第21回マンスリーBOATRACE杯,3,3569,増田 進,3,55,52.1,0,0,0.18,4.1,16.13,31.18,3.56,15.63,28.13,0,0,50,70
2026-05-09,5,7,2026-05-09 14:38:00,5,第21回マンスリーBOATRACE杯,4,5065,伊久間 陽優,3,27,52,0,0,0.12,5.72,44.94,56.18,6.19,55.56,62.96,0,0,80,90
2026-05-09,5,7,2026-05-09 14:38:00,5,第21回マンスリーBOATRACE杯,5,4439,近藤 友宝,3,39,54.6,0,0,0.17,4.2,20.73,34.15,3.68,14.71,23.53,50,70,57.89,78.95
