race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,1,3432,宮迫 暢彦,3,57,52,0,0,0.18,4.62,32,43,3.61,16.67,33.33,28.42,46.32,29.38,40.21
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,2,4513,河野 真也,2,36,52,0,0,0.17,5.8,39.29,58.33,6.38,43.75,62.5,37.42,55.83,34.54,52.58
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,3,3637,齋藤 和政,3,54,53.1,0,0,0.18,4.43,20.69,43.68,3.91,9.09,33.33,26.35,45.95,44.9,61.22
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,4,4788,小池 哲也,1,36,52.8,0,0,0.15,5.75,37.5,54.17,6.57,50,67.86,33.96,52.83,36.18,55.28
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,5,3839,川合 理司,3,50,60.8,0,0,0.17,4.52,23.53,42.86,3.43,10.71,25,34.38,55.73,30.21,43.23
2025-11-13,1,1,2025-11-13 15:19:00,5,第7回日本一しょうゆ杯,6,5377,鳥居塚 嶺王,4,21,50.5,0,0,0.16,2.94,10.61,16.67,2.32,5.26,10.53,33.33,49.51,38.97,56.41
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,1,4031,飯島 誠,3,47,52,0,0,0.19,4.45,23.23,43.43,4.5,25,42.86,31.92,48.36,27.04,48.98
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,2,4369,丹下 将,1,40,56,0,0,0.17,5.9,44,56.8,5.84,40.91,56.82,39.62,56.6,31.31,44.95
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,3,4865,立具 敬司,3,35,52,0,0,0.18,4.8,26.09,39.13,3.33,0,33.33,36.45,57.01,34.69,53.57
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,4,4842,山下 昂大,2,33,53.4,0,0,0.17,5.41,34.12,55.29,4.78,22.22,44.44,37.23,52.13,30.9,44.38
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,5,3659,藤生 雄人,2,51,53.5,0,0,0.18,5.25,35.21,54.93,6.1,43.09,60.64,29.9,48.97,31.66,51.76
2025-11-13,1,2,2025-11-13 15:47:00,5,第7回日本一しょうゆ杯,6,3934,鋤柄 貴俊,3,48,52.2,0,0,0.16,5.15,30.93,52.58,4.41,23.53,35.29,36.98,52.08,34.52,50.76
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,1,5186,遠藤 圭吾,3,25,53.7,0,0,0.17,4.4,20.55,41.1,4.86,30.95,47.62,33.06,51.24,31.12,40.31
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,2,4278,藤岡 俊介,1,42,51.5,0,0,0.12,6.88,49.61,72.09,7.35,47.06,70.59,33.72,51.74,25.13,41.21
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,3,4083,福島 勇樹,2,46,52,0,0,0.15,6.54,53.77,67.92,6.6,54.39,66.67,42.27,56.19,31.44,51.03
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,4,4533,峰重 侑治,2,36,50.5,0,0,0.16,4.51,22.64,35.85,0,0,0,34.2,50.78,24.35,36.27
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,5,3704,本部 めぐみ,3,51,47,0,0,0.22,2.93,7.04,16.9,2.39,0,16.67,36.23,51.69,28.27,42.93
2025-11-13,1,3,2025-11-13 16:13:00,5,第7回日本一しょうゆ杯,6,3827,今泉 徹,3,52,52,0,0,0.17,4.18,17.5,37.5,4.38,16.96,41.07,42.06,61.68,27.07,43.09
2025-11-13,1,4,2025-11-13 16:40:00,5,第7回日本一しょうゆ杯,1,4765,野田部 宏子,3,35,51.3,0,0,0.14,5.08,32.43,51.35,4.79,39.29,46.43,35.78,52.75,31.31,50.51
