race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2025-10-27,2,1,0,17,0,2,21,17,1,1,0.04,6.89,53.3,0,-0.5
2025-10-27,2,1,0,17,0,2,21,17,2,2,0.01,6.96,52.1,0,-0.5
2025-10-27,2,1,0,17,0,2,21,17,3,3,0.16,6.89,54.8,0,-0.5
2025-10-27,2,1,0,17,0,2,21,17,4,4,-0.04,7.01,52.1,0,-0.5
2025-10-27,2,1,0,17,0,2,21,17,5,5,-0.23,6.89,47.4,0,-0.5
2025-10-27,2,1,0,17,0,2,21,17,6,6,-0.02,6.99,53.7,0,-0.5
2025-10-27,2,2,2,8,2,1,21,17,1,1,0.03,6.94,52.9,0,0
2025-10-27,2,2,2,8,2,1,21,17,2,2,0.16,6.95,52,0,-0.5
2025-10-27,2,2,2,8,2,1,21,17,3,3,0.02,6.99,51.5,0.5,-0.5
2025-10-27,2,2,2,8,2,1,21,17,4,4,0.04,6.84,52.6,0,0
2025-10-27,2,2,2,8,2,1,21,17,5,5,0.23,6.86,52,0,-0.5
2025-10-27,2,2,2,8,2,1,21,17,6,6,0.09,6.97,47.9,0,0
2025-10-27,2,3,2,8,2,1,21,17,1,1,0.04,6.91,55.5,0,-0.5
2025-10-27,2,3,2,8,2,1,21,17,2,2,-0.02,6.92,55.1,0,-0.5
2025-10-27,2,3,2,8,2,1,21,17,3,3,0.21,6.78,52.8,0,0.5
2025-10-27,2,3,2,8,2,1,21,17,4,4,0.27,6.77,52.5,0,0.5
2025-10-27,2,3,2,8,2,1,21,17,5,5,0.08,6.91,52.5,0,-0.5
2025-10-27,2,3,2,8,2,1,21,17,6,6,0.07,6.85,54.9,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,1,1,0.07,6.99,54.8,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,2,2,0.15,6.84,52.6,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,3,3,0.11,6.85,52,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,4,4,0.03,6.96,54.4,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,5,5,0.07,6.91,52.3,0,-0.5
2025-10-27,2,4,3,6,2,1,21,17,6,6,0.07,6.83,52,0,0
2025-10-27,2,5,1,8,1,1,22,17,1,1,0.13,6.85,52,0,-0.5
2025-10-27,2,5,1,8,1,1,22,17,2,2,0.12,6.88,52,0,-0.5
2025-10-27,2,5,1,8,1,1,22,17,3,3,0.17,6.89,52.1,0,0
