race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2025-11-08,2,1,2,12,2,1,15,14,1,1,-0.09,6.76,53.4,0,-0.5
2025-11-08,2,1,2,12,2,1,15,14,2,2,-0.01,6.75,55.9,0,-0.5
2025-11-08,2,1,2,12,2,1,15,14,3,3,-0.04,6.8,59.1,0,-0.5
2025-11-08,2,1,2,12,2,1,15,14,4,4,-0.09,6.81,61,0,-0.5
2025-11-08,2,1,2,12,2,1,15,14,5,5,-0.12,6.65,53.9,0,0
2025-11-08,2,1,2,12,2,1,15,14,6,6,-0.16,6.78,52.5,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,1,1,-0.15,6.68,52,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,2,2,-0.05,6.71,52.1,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,3,3,-0.03,6.7,52,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,4,4,-0.08,6.74,54.3,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,5,6,-0.12,6.71,55.1,0,-0.5
2025-11-08,2,2,0,17,0,2,13,14,6,5,-0.06,6.72,55.3,0,-0.5
2025-11-08,2,3,2,12,1,1,14,14,1,1,0.24,6.71,54.2,0,-0.5
2025-11-08,2,3,2,12,1,1,14,14,2,2,0.13,6.79,53.3,0,-0.5
2025-11-08,2,3,2,12,1,1,14,14,3,3,0.07,6.66,54.9,0,-0.5
2025-11-08,2,3,2,12,1,1,14,14,4,4,0.03,6.69,53.9,0,-0.5
2025-11-08,2,3,2,12,1,1,14,14,5,5,0.11,6.72,51.5,0.5,-0.5
2025-11-08,2,3,2,12,1,1,14,14,6,6,0.11,6.67,52,0,-0.5
2025-11-08,2,4,2,12,1,1,14,14,1,1,-0.02,6.73,55,0,-0.5
2025-11-08,2,4,2,12,1,1,14,14,2,2,-0.03,6.67,53.8,0,-0.5
2025-11-08,2,4,2,12,1,1,14,14,3,3,0.18,6.71,52,0,-0.5
2025-11-08,2,4,2,12,1,1,14,14,4,4,0.14,6.67,52,0,0
2025-11-08,2,4,2,12,1,1,14,14,5,5,0.06,6.68,52,0,0
2025-11-08,2,4,2,12,1,1,14,14,6,6,0.14,6.72,52,0,-0.5
2025-11-08,2,5,2,12,1,1,15,14,1,1,0.07,6.75,52,0,-0.5
2025-11-08,2,5,2,12,1,1,15,14,2,2,0.17,6.66,52,0,-0.5
2025-11-08,2,5,2,12,1,1,15,14,3,3,0.13,6.69,52.3,0,-0.5
2025-11-08,2,5,2,12,1,1,15,14,4,4,0.13,6.59,53.9,0,0
2025-11-08,2,5,2,12,1,1,15,14,5,5,0.05,6.73,52.2,0,-0.5
2025-11-08,2,5,2,12,1,1,15,14,6,6,0.12,6.72,52,0,-0.5
2025-11-08,2,6,2,14,1,1,15,14,1,1,0.01,6.72,51,1,-0.5
2025-11-08,2,6,2,14,1,1,15,14,2,2,0.06,6.73,54.3,0,-0.5
2025-11-08,2,6,2,14,1,1,15,14,3,3,0.04,6.91,61,0,-0.5
2025-11-08,2,6,2,14,1,1,15,14,4,4,-0.05,6.65,52,0,-0.5
2025-11-08,2,6,2,14,1,1,15,14,5,5,-0.03,6.68,52,0,-0.5
2025-11-08,2,6,2,14,1,1,15,14,6,6,-0.03,6.7,53.1,0,-0.5
2025-11-08,2,7,2,12,1,1,15,14,1,1,0.12,6.77,51,1,-0.5
2025-11-08,2,7,2,12,1,1,15,14,2,2,0.04,6.75,53.2,0,-0.5
2025-11-08,2,7,2,12,1,1,15,14,3,3,0.05,6.71,54.2,0,-0.5
2025-11-08,2,7,2,12,1,1,15,14,4,4,0.15,6.74,53.3,0,-0.5
2025-11-08,2,7,2,12,1,1,15,14,5,5,0.13,6.82,53.4,0,-0.5
2025-11-08,2,7,2,12,1,1,15,14,6,6,0.17,6.69,54.7,0,-0.5
2025-11-08,2,8,2,12,1,1,15,14,1,1,0.03,6.64,53.9,0,-0.5
2025-11-08,2,8,2,12,1,1,15,14,2,2,-0.05,6.64,52,0,-0.5
2025-11-08,2,8,2,12,1,1,15,14,3,3,0.17,6.64,52,0,-0.5
2025-11-08,2,8,2,12,1,1,15,14,4,4,0.02,6.77,59.1,0,-0.5
2025-11-08,2,8,2,12,1,1,15,14,5,5,0.06,6.76,55,0,0
2025-11-08,2,8,2,12,1,1,15,14,6,6,0.18,6.75,52.6,0,-0.5
