motor_2rate_band,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
30-35,237,0.5527,0.7468,0.101,0
35-40,208,0.6346,0.8077,0.0913,0
40-45,89,0.6404,0.809,0.0913,0
45+,62,0.6452,0.7903,0.0877,0
<30,275,0.5345,0.7455,0.106,0
