actual_kimarite,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
1,295,0.9932,1.0,0.0419,0
2,86,0.0116,0.5698,0.17,0
3,80,0.0125,0.4375,0.1741,0
4,68,0.0,0.3676,0.1826,0
5,33,0.4848,0.7879,0.1155,0
6,2,0.0,0.0,0.2225,1
