stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
13,4,2-3,1096,115,0.1049,0,0.0,0
13,4,4-5,1122,123,0.1096,0,0.0,0
13,4,6+,425,39,0.0918,0,0.0,0
13,5,0-1,559,29,0.0519,0,0.0,0
13,5,2-3,1096,51,0.0465,0,0.0,0
13,5,4-5,1121,68,0.0607,0,0.0,0
13,5,6+,425,28,0.0659,0,0.0,0
13,6,0-1,555,12,0.0216,0,0.0,0
13,6,2-3,1079,16,0.0148,0,0.0,0
13,6,4-5,1109,15,0.0135,0,0.0,0
13,6,6+,421,12,0.0285,0,0.0,0
14,1,0-1,735,396,0.5388,384,0.5224,0
14,1,2-3,1605,783,0.4879,758,0.4723,0
14,1,4-5,446,202,0.4529,191,0.4283,0
14,1,6+,233,86,0.3691,81,0.3476,0
14,2,0-1,735,109,0.1483,0,0.0,0
14,2,2-3,1605,224,0.1396,0,0.0,0
14,2,4-5,446,62,0.139,0,0.0,0
14,2,6+,233,37,0.1588,0,0.0,0
14,3,0-1,735,93,0.1265,0,0.0,0
14,3,2-3,1605,238,0.1483,0,0.0,0
14,3,4-5,446,89,0.1996,0,0.0,0
14,3,6+,233,57,0.2446,0,0.0,0
14,4,0-1,735,69,0.0939,0,0.0,0
14,4,2-3,1605,185,0.1153,0,0.0,0
14,4,4-5,446,57,0.1278,0,0.0,0
14,4,6+,233,36,0.1545,0,0.0,0
14,5,0-1,735,54,0.0735,0,0.0,0
14,5,2-3,1605,144,0.0897,0,0.0,0
14,5,4-5,446,23,0.0516,0,0.0,0
14,5,6+,233,12,0.0515,0,0.0,0
14,6,0-1,730,14,0.0192,0,0.0,0
14,6,2-3,1587,31,0.0195,0,0.0,0
14,6,4-5,440,13,0.0295,0,0.0,0
14,6,6+,227,5,0.022,0,0.0,0
15,1,0-1,873,526,0.6025,506,0.5796,0
15,1,2-3,1675,925,0.5522,890,0.5313,0
15,1,4-5,458,243,0.5306,235,0.5131,0
15,1,6+,217,108,0.4977,105,0.4839,0
15,2,0-1,873,102,0.1168,0,0.0,0
15,2,2-3,1675,234,0.1397,0,0.0,0
15,2,4-5,458,61,0.1332,0,0.0,0
