racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
3543,福田 雅一,242,0.1637,0.003609,0
3544,豊田 訓靖,217,0.1939,0.00771,0
3546,中里 昌志,282,0.1822,0.005703,0
3548,室田 泰史,379,0.1226,0.002943,0
3550,都築 正治,348,0.1595,0.004406,0
3551,藤田 美代,224,0.1798,0.006935,0
3553,平池 仁志,10,0.15,0.00252,0
3554,仲口 博崇,424,0.1823,0.004233,0
3556,田中 信一郎,371,0.1432,0.003514,0
3557,太田 和美,448,0.1465,0.004228,0
3558,山本 浩次,270,0.1548,0.005319,0
3562,山下 和彦,373,0.1644,0.004841,0
3563,堤 昇,327,0.1553,0.004368,0
3564,桑原 啓,306,0.1681,0.004096,0
3566,川添 英正,299,0.1876,0.003923,0
3567,吉岡 誠,207,0.1796,0.005802,0
3568,木村 光宏,284,0.1664,0.003774,0
3569,増田 進,306,0.1815,0.00425,0
3572,安田 政彦,335,0.1947,0.007002,0
3574,大神 康司,327,0.1545,0.004731,0
3576,白水 勝也,328,0.1634,0.005117,0
3577,向所 浩二,243,0.151,0.005053,0
3578,塩田 雄一,205,0.1833,0.007504,0
3579,中里 優子,217,0.1724,0.004973,0
3580,水口 由紀,279,0.19,0.006029,0
3581,加木 郁,301,0.1863,0.004744,0
3582,吉川 昭男,353,0.1594,0.004366,0
3583,齋藤 智裕,240,0.1866,0.005982,0
3584,佐々木 英樹,301,0.1733,0.003267,0
3587,武田 信一,285,0.1614,0.005616,0
3589,西村 勝,241,0.162,0.004604,0
3590,濱野谷 憲吾,375,0.1363,0.003672,0
3591,後藤 孝義,183,0.1844,0.007482,0
3596,河上 年昭,241,0.1684,0.005764,0
3600,玄馬 徹,49,0.2061,0.007546,0
3602,奥平 拓也,267,0.1865,0.00612,0
3604,武藤 綾子,256,0.193,0.004419,0
3605,中村 守成,261,0.188,0.005146,0
3606,川北 浩貴,332,0.1675,0.003712,0
3611,岩崎 芳美,303,0.1407,0.003609,0
3612,馬袋 義則,413,0.1363,0.003522,0
3613,角谷 健吾,379,0.1475,0.003633,0
3614,谷 勝幸,322,0.1674,0.003777,0
3615,横田 茂,309,0.1565,0.003214,0
3616,中村 真,260,0.1571,0.004951,0
3617,竹田 広樹,272,0.1868,0.005193,0
3618,海野 ゆかり,348,0.1744,0.005394,0
3619,長谷川 充,301,0.1838,0.003217,0
3620,信濃 由行,263,0.176,0.004022,0
3621,天野 晶夫,236,0.1714,0.004659,0
3623,深川 真二,340,0.1409,0.004833,0
3627,井上 恵一,320,0.1828,0.004971,0
3629,浅見 昌克,316,0.1415,0.004743,0
3630,黒田 誠司,187,0.1653,0.004389,0
3631,田添 康介,144,0.1753,0.009736,0
3635,石田 政吾,301,0.1627,0.003745,0
3637,齋藤 和政,264,0.1804,0.005031,0
3641,一瀬 明,364,0.169,0.00381,0
3642,大塚 浩二,245,0.1835,0.006766,0
3643,米田 隆弘,306,0.1741,0.003722,0
3645,淺田 千亜希,130,0.1415,0.004179,0
3647,伊藤 雄二,292,0.1729,0.005799,0
3652,森下 勇,250,0.1812,0.007009,0
3653,品川 賢次,199,0.1966,0.007055,0
3654,武田 光史,329,0.153,0.004703,0
3655,本橋 克洋,347,0.1807,0.003567,0
3656,伯母 芳恒,261,0.1682,0.004449,0
3659,藤生 雄人,273,0.1663,0.003896,0
3660,長谷川 親王,255,0.2002,0.005083,0
3661,柳瀬 興志,342,0.168,0.004028,0
3662,大庭 元明,335,0.1634,0.005397,0
3663,木山 和幸,350,0.1676,0.00396,0
3664,鈴木 賢一,281,0.1722,0.004205,0
3679,飯島 昌弘,368,0.1501,0.004174,0
3680,森林 太,301,0.198,0.006591,0
3681,山谷 央,239,0.1514,0.003861,0
3684,清水 攻二,305,0.1773,0.007491,0
3685,荒井 輝年,298,0.1587,0.005905,0
3686,鳥居塚 孝博,343,0.1462,0.003646,0
3687,花田 和明,271,0.1618,0.006462,0
3690,河合 三弘,309,0.1845,0.003803,0
3692,竹腰 正樹,293,0.1463,0.005179,0
3696,白井 友晴,299,0.1764,0.003083,0
3699,富永 正人,253,0.1812,0.005467,0
3701,大西 隆洋,268,0.1614,0.006105,0
3702,貞兼 淳二,8,0.1638,0.014798,1
3703,鳥飼 眞,306,0.1723,0.004224,0
3704,本部 めぐみ,207,0.2224,0.007072,0
3708,岡部 貴司,304,0.1546,0.005068,0
3710,吉永 泰弘,299,0.1719,0.004005,0
3711,江本 真治,398,0.1535,0.003079,0
3712,淺香 文武,289,0.1539,0.003771,0
3713,伊藤 誠二,315,0.152,0.003477,0
3714,梶原 正,287,0.1522,0.003677,0
