stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
24,5,11,465,24,0.0516,0,0.0,0
24,5,13,285,19,0.0667,0,0.0,0
24,5,15,249,20,0.0803,0,0.0,0
24,5,17,72,4,0.0556,0,0.0,0
24,5,3,312,15,0.0481,0,0.0,0
24,5,5,409,29,0.0709,0,0.0,0
24,5,7,299,16,0.0535,0,0.0,0
24,5,9,764,40,0.0524,0,0.0,0
24,6,1,466,6,0.0129,0,0.0,0
24,6,11,462,6,0.013,0,0.0,0
24,6,13,283,1,0.0035,0,0.0,0
24,6,15,247,4,0.0162,0,0.0,0
24,6,17,71,1,0.0141,0,0.0,0
24,6,3,311,9,0.0289,0,0.0,0
24,6,5,407,7,0.0172,0,0.0,0
24,6,7,295,7,0.0237,0,0.0,0
24,6,9,759,8,0.0105,0,0.0,0
3,1,10,236,106,0.4492,98,0.4153,0
3,1,12,437,209,0.4783,200,0.4577,0
3,1,14,569,275,0.4833,252,0.4429,0
3,1,16,142,80,0.5634,71,0.5,0
3,1,17,7,6,0.8571,6,0.8571,1
3,1,2,262,117,0.4466,107,0.4084,0
3,1,4,995,441,0.4432,407,0.409,0
3,1,6,192,84,0.4375,79,0.4115,0
3,1,8,27,15,0.5556,15,0.5556,0
3,2,10,236,39,0.1653,0,0.0,0
3,2,12,437,66,0.151,0,0.0,0
3,2,14,569,99,0.174,0,0.0,0
3,2,16,142,27,0.1901,0,0.0,0
3,2,17,7,0,0.0,0,0.0,1
3,2,2,262,55,0.2099,0,0.0,0
3,2,4,995,200,0.201,0,0.0,0
3,2,6,192,34,0.1771,0,0.0,0
3,2,8,27,2,0.0741,0,0.0,0
3,3,10,236,29,0.1229,0,0.0,0
3,3,12,437,68,0.1556,0,0.0,0
3,3,14,569,86,0.1511,0,0.0,0
3,3,16,142,13,0.0915,0,0.0,0
3,3,17,7,0,0.0,0,0.0,1
3,3,2,262,38,0.145,0,0.0,0
3,3,4,995,136,0.1367,0,0.0,0
3,3,6,192,28,0.1458,0,0.0,0
3,3,8,27,2,0.0741,0,0.0,0
3,4,10,236,40,0.1695,0,0.0,0
3,4,12,437,60,0.1373,0,0.0,0
3,4,14,569,59,0.1037,0,0.0,0
3,4,16,142,11,0.0775,0,0.0,0
3,4,17,7,0,0.0,0,0.0,1
3,4,2,262,28,0.1069,0,0.0,0
3,4,4,995,126,0.1266,0,0.0,0
3,4,6,192,27,0.1406,0,0.0,0
3,4,8,27,3,0.1111,0,0.0,0
3,5,10,236,14,0.0593,0,0.0,0
3,5,12,437,22,0.0503,0,0.0,0
3,5,14,569,38,0.0668,0,0.0,0
3,5,16,142,8,0.0563,0,0.0,0
3,5,17,7,0,0.0,0,0.0,1
3,5,2,262,21,0.0802,0,0.0,0
3,5,4,995,66,0.0663,0,0.0,0
3,5,6,192,15,0.0781,0,0.0,0
3,5,8,27,4,0.1481,0,0.0,0
3,6,10,231,8,0.0346,0,0.0,0
3,6,12,428,12,0.028,0,0.0,0
3,6,14,558,12,0.0215,0,0.0,0
3,6,16,139,2,0.0144,0,0.0,0
3,6,17,7,1,0.1429,0,0.0,1
3,6,2,252,3,0.0119,0,0.0,0
3,6,4,976,26,0.0266,0,0.0,0
3,6,6,190,4,0.0211,0,0.0,0
3,6,8,26,1,0.0385,0,0.0,0
4,1,1,150,73,0.4867,72,0.48,0
4,1,11,26,11,0.4231,11,0.4231,0
4,1,13,624,252,0.4038,239,0.383,0
4,1,15,197,77,0.3909,71,0.3604,0
4,1,17,148,56,0.3784,56,0.3784,0
4,1,3,340,157,0.4618,149,0.4382,0
4,1,5,1443,690,0.4782,654,0.4532,0
