confidence_quintile,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
Q1,15375,0.3634,0.6401,0.1231,0.3523,15164,0
Q2,15375,0.4885,0.7121,0.1129,0.4883,15352,0
Q3,15375,0.552,0.7515,0.1052,0.5521,15353,0
Q4,15375,0.6163,0.7848,0.0957,0.616,15365,0
Q5,15375,0.7076,0.8259,0.079,0.7075,15354,0
