is_night,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0,59852,0.5251,0.7307,0.1056,0.5227,59635,0
1,17023,0.6176,0.7858,0.0945,0.6175,16953,0
