confidence_quintile,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
Q1,15411,0.3638,0.6405,0.123,0.3527,15200,0
Q2,15411,0.4885,0.7123,0.1129,0.4883,15388,0
Q3,15411,0.5519,0.7512,0.1052,0.552,15389,0
Q4,15411,0.6163,0.7847,0.0957,0.616,15401,0
Q5,15411,0.7077,0.8258,0.079,0.7076,15390,0
