grade,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,864,0.6528,0.7535,0.1004,0.6528,864,0
2,3231,0.6366,0.7604,0.0996,0.6366,3231,0
3,1145,0.5624,0.7153,0.1055,0.5624,1145,0
4,6166,0.5245,0.7324,0.106,0.5223,6154,0
5,65649,0.5414,0.7434,0.1031,0.5395,65374,0
