wind_band,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0-1,19084,0.5765,0.7605,0.0992,0.5748,19063,0
2-3,35623,0.551,0.7475,0.1022,0.549,35518,0
4-5,16882,0.5222,0.7285,0.1064,0.5212,16774,0
6+,5466,0.4753,0.6958,0.1131,0.4705,5413,0
