is_night,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0,59995,0.5252,0.7307,0.1056,0.5229,59778,0
1,17060,0.6174,0.7856,0.0946,0.6173,16990,0
