actual_kimarite,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,40331,0.9862,0.9955,0.0441,0.9889,40196,0
2,9333,0.011,0.5288,0.169,0.0025,9295,0
3,12292,0.0158,0.4371,0.1731,0.0059,12233,0
4,9458,0.0051,0.3486,0.1827,0.0005,9428,0
5,5018,0.3653,0.6445,0.1267,0.3616,4994,0
6,622,0.1447,0.4116,0.165,0.1449,621,0
