wave_band,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
0,4967,0.5681,0.763,0.0995,0.5668,4959,0
1-2,39520,0.5668,0.7557,0.1004,0.5648,39421,0
3-4,22964,0.5276,0.7323,0.1054,0.5259,22863,0
5+,9424,0.4888,0.7058,0.1114,0.486,9345,0
